midrash.Midrash_Tanchuma.	midrash.Midrash_Tanchuma_Buber.	midrash.Pesikta_Rabbati.	midrash.Pesikta_D'Rav_Kahanna.	midrash.Yalkut_Shimoni_on_Torah.	midrash.Yalkut_Shimoni_on_Nach.	bavli.	yerushalmi.	text
36	56	0	0	4	6	15	2	והרקידן אינו דוחה את השבת בל המנחות נילושת בפושרין ומשמרן שלא יחמיצו ואם החמיצו שיריה עובר בלא תעשה שנ' כל המנחה ש תקריבו ליוי וג' וידבר יוי נפש כי תחטא ילמדנו רבינו מהו שיכנס אדם להר הבית במקלו ובאפדתו כך שנו רבותינו לעולם לא יכנס לה אדם להר הבית במקלו ובאפונדתו ובאבק שעל רגליו שלא ינהוג בו קלות ראש אפי' בחורבנו אמ' הב'ה' את שבתותי תשמורו ומקדשי תיראו ומה ראה להקיש שמירת שבת למקדש כך שנה ' חייא הגדול כשם ששמירת שבת ל עולם כך מורתא מקדש לעולם ושלמה צווח מקום המשפט שמה הרשע שלמה היה צופה היאך הרשעים מעמין
26	37	0	0	7	4	7	8	בית המקדש אמ' שלמה מקום שהיו סנהדרין יושבין ודנין דיני ודיני מכות טמאות וטהרות משקין ראה מה כי ויבואו כל שרי מלך בבל וישבו בשער התוך נרגל שראצר שמגר נבו שר שכיס רב סריס וכת' על ה כיון ששמם שועלים הלכו בו אמר לו ה'ב'ה' אתה קורא הנכנסות ואין את קורא היוצאות ומקום הצדק שמה הרשע אם יהרג במקדש יוי כהן ונביא דמו שליזכריה מושלך על האבנים שנ' כי דמה בתוכה ה עלי ולע מקום המשפיט שמה הרשע זה שער האמצע סנהדרי גדולה יושבת בו שמה הרשע טבעו בארץ שעי אמ' ה'ב'ה' מקום ה צדק שמה הרשע מקום אחד היה
31	41	0	0	1	8	7	10	צדיקו של עולם בבית המיוחד לשכינה הרשיעו מנשה הכני צלם בתוכו דא' שכך כתי' אשר בידו נפש כל יי ורחח כל בשר איש אף המשפט נתון בידי שנ' ותאח במשפט ידו ולא נתתי את הנפש בצד הדין ﭏא כדי שהא רואה מה מותקן לה ולא תחטא והיא חויטאה שמה הדשע שהנפש נתונה בצד הדין נפש כי תחטא זש'ה' גם בל דעת נפש לא טו ואץ ברגלים חוטא מי שחוטא עה אינו סימן יפה לו כיצד היו לפניו שתי חנויות ות של גוי ואחת של ישר' נכנס לאותה של גוי בלא דנת לא טוב נכנס במזיד נקרא חוט א שנ' ואץ
40	49	0	0	2	10	12	14	ברגלים חוטא אמ ר' יצחק בר' שמוﭏ בר מרתא היו לפניו שתי דרכים אחת ארוכה ואחת קצרה הקצרה מלאה צרורות חארוכה אין בה צרורות אמר הניח ה ארוכה והלך בקצרה בשבת עליו נאמר ואץ ברגלים חוטא שנו רבותי' מצוה גוררת מצוה ועבירה גוררת עבירה לא יצר אדם על עבירה שעשה בשוגג ﭏא שנפתח לו פתח שיחטא אפילו בשוגג ואפי' במזיד לא ישמח אדם על מצוה שבאה לידו ﭏא צות הרבה עתידות לבוא לידו לפיכך אם חטא בשוג אין סימן וב לו שנ'גם בלא ב דעת נפש לא מוב ולא ולא חוטא בשוגג אין סימן טוב לו חא במזיד ע אות
26	30	0	4	1	18	11	8	כמה ומה לפיכך נאממר ואץ ברגלים חוטא כן הוא אומ' שש הנה שנא יוי ושבע תועכותת נשו עינים רמות לשון שקר וידים שופכות דםקי לב חרש מחשות און רגלים ממהרת לוץ לרעה אחאב בן קליה וצדקה בן מעשיה שהיו חוטאין בידושלם ולא ריין ﭏא משלו לבבל היו מוסיין חטא ומה היו שי כירושלי היו נביאי שקר ולא הניו אומנותן ב והיו מסרסדין זה לזה בעבירות היה אחאב ין נכנס אצל גדולי מלכות בבל והיה אומר לבני אדם מגדולי מלכות אני פלוני הנביא ה'ב'ה' שנהני לומר דבר לאשתך והיה אומךר לו הרי לפניך הכעס היה מתיחד ואומר לה ה'ב'ה' מבקש להעמיד
27	28	0	1	7	16	14	11	ממך נביאים לכי ושמ עם צדקיה בן מעשיה ותולידי ממנו ביאיםוהיתה מע לו והיה משלח אחר צדקיה והוא בא משמש עמה וצדק בן יו אף הוא כך היה עושה מסרס לאחאב ה היתה אומעותן של שניהם בוא וראה כמה היו רשעים שהוציאו להם שם בבבל שהם נביאי' גדולים אשה היתה עוברת רואה אח מהם אומרת לו אי נביא מה אני מעוברת זכר או נקבה הוא אומ לה זכר היה' לשכנותיה ואומר להן נקבה תלד פלונית אם ילדכה זכר אומרת נתהיימו דבו יו שלנביא אם ילד נקיבה אמרות לה כך אמר לנו הנביא ﭏא שלא רצה לי ךוהיו עושין כך עד
19	6	1	1	5	6	12	7	שהי עו לאשתו שלב כ ש צדקיה אמר לה ה'ה' שלחני אצל לכי ו'שמשי עם רחב ותולידי ממנו נכיאי' אמ ה לו איני יכונה לעשות רבר ﭏא על דעת בעלי ועכשיו יבוא ונודיענו שהוא חכץ בדבר זה הלכה מיד ואמרה אותו דבר לביבד י באותה שעה שלח בשבילם ובאו שניהם אמר להם כ אמרתם לאשתי אמרו לו כך שה'ב'ה' רוצה להעמיד ממנה נביאים אמ' להם מימי שמעתי ﭏ ﭏהיבם שהרא שונא זימה וזמרי בןסליא על שפרץ בזנות נפלו כד ﭏףמישרﭏ בשבלו ואתם אומרי' עעשיו כך שמא חזר בו אם אתםנביאי את או נביאי שקר איני יודע ﭏא כבר בדקתי בחניה
30	4	1	2	5	3	9	1	מישﭏ ועזריה והסקתי להן את הכבש ז'ימים והפלתי אות לוכ ויצאו שלימים ולכם איני מסירדו ﭏא יום אחד ונשליך אתכם לתוכו אם תצלו מן הכבשן יודע אני ודאי שאת ביאי אמת ונעשה על פיככם כל מה שאתם אומי' לי אמרו לו חנניה מישﭏ וזריה שלשה היו ואנו שנים והנס על ידי שלשה נעשה להן נס אמר לה יש אן שלישי כיוצא ב אמרו יש אמר לתם מי הוא אמרו לו יהושע בן יהודי כן גדול והם חשו בלבם שעל זכותו הן ניצלין באותה שגב הביאו כהן גדול והשליוהו עמהן לתיך הכבשי ם שירפי שניהם ויהושע כהן גדול יניצל נשנ' הלא
17	12	0	0	3	4	6	6	זה אוד מוצל מאש ומן אחאב בן קוליה לוקח מהן קללה לכ גלות יהודה וג'מי גרם לרשעים הללו לישדך ﭏא על שה ים עיוליהם אחר רגליהם העירות לכך אמ' ואןברג חוטא יאע''כ' גם בלא דעת פש לא ט לכך אמ' ה'ב'ה' למש דבר ﭏ בני ישר' לאמר נפש כי תחטא בשגגה ד'א נפש תחא בשגגה הנפש חוטאה אמ' ו'ה'ה' מקום המשפט שה הרשע ומקום הצדר לה'ד לשני בני אדם אחד קרתני ואחדד בן פלטין שחאו לפני המלך מה עושה להם העלם שניהם לבימה ראה שניהם חטאו חטא אחד מה עשה להם פינה זרתני ותן לבן נל אפומסין אמרו לו בני
25	28	0	2	6	3	10	1	כלםי שלו או המלך שניהם טאו חטא אחד לקרתני פניתה ול פלן נתתה אכוסין אמ' להן להרתני פניתי שאינו יודע נימס המלכיות אבל בן פלטין בכל יום ויום הוא עמי עומד ויודע עסקי המלכות מה הן והוא חוטא לפני איזה דין יוצא עליו אף כך הגיףם קרי שנ' וייצר יוי ﭏהים את האדם פר מן האדמה והננש בן פלטי שלמעלן שנ' ויפח שמת חיים ושניהם חוטאין למה שאי אפשר לגוף להיות בלא נששאם אין ש אין גףם אםאין גוףאין / חוטאה לפיכך פים לוף ונתן לנש אפוסין ש' הש החוטאת היא תמות לפיבך הגוף מטמאה ש ני מה הוא בשגגה
36	42	0	0	7	4	11	6	מכל מות יוי ללמדך שכל החוטא עבר על מצות יוי ללמדך כן וכן הוא אומ' וכי תטגו ולא תעשו וג' וכן דוד אומר שגיאות מי יבין וג' ואומר גם מזדים חשוךעבדךוג'' ונקיתי מפשעבב וג' מחטא ם ול אשר עשיתי ואם תעשה כן יהיו לרצון אמרי פי מיכן את למד שכל הוחטא בשגגה נקרא חוטא שנו יב שגנת תלמוד עולה זדון לפיכך כתיב נש כיתחטא לפי שהיא מלמעל ולא כת' אדם לעתיד לבו ה'ב'ה' מב' הנפש ואומר לה למה עברת על כל מצות והיא אומרת הגוף עבר עלכל המצות משיצאתי מעמנו שמא חטאת חוזר ואומר לגוףם למה חטאת אומר לו הנפש
22	36	1	0	1	6	15	10	חטאה משיצאת הנפש ממני שמא חטאתי באותה שעה מה הבה עושה מביאם שניהם ודנם כאחת לאחד למלך שהיה לו פרדס והיה בתוכו שדות טובות חשב המלך בלבו אם מושיב אני שם שומרין יהיו אוכלין את הבכורת מה השיב בו שנים אחד חיגר ואחד סומא והף יושבין ומריין את הפירות אמר ח יגר לסומא בכורות נאות אני ואה בפרדס ועכשיו בוא והרכבני על כתפך נביאם ואי הרכיב חגר על סומא והביאו ואכלו שניהם לימי' בא המלך בקש הבכורות ולא מצאן אמר לחגר מי אכלן אמר לו כלום ישלי רגלים אמר לסומא אתה אכלת אתם מרלו כלוםישליעינים הרכיב אתה ממר לם כעין
17	28	1	2	1	5	6	6	שגבם את הביכורות כך אני דן אתכם ואף הב'ה מביא את הנשמה וזורקה בגף שנ' יקרא ﭏ השמ' מעל וט א וג' יקרא ﭏ השמים מעל זו נשמה וﭏ האר לדין עמו זה הגוך וכפה דוד היא ה'ב'ה דן אתכיותי התחיל לשן י על נפשו ואמר רבון העולמים שאתי ן י יותי ﭏ תדינני כיורצא בהם וﭏ תבוא במשפיי את בדך כי לא וג' ﭏא צדקה עשה עמי ש' אני ב כצד אחחה ניך וג' אמ' ה'ב'ה' בעולם הזה עלידישיצ שוליט בכם הייתם חוטאים אבל לעולם הבא אני עיקו מם שנ' והסירותי את לב האב מבשרכם וג' וופשי ושמעה וג'
19	23	1	1	2	5	4	3	ז'שה ﭏ תבהל על פיך ולבך ﭏימה להו ציא דבר וג' על כן יהיו דבריך מעטים ﭏו בני א שמחרפין שמו של ה''ה' כוא וראה כשנברא העליום והתחתונום בחצי השם בראו שנ כי ביה יוי צור עולמים ולמה לא נבראו בכל השם שכל העולם אין כדאי הוא להזכי את השם שלם אוי להם לרשעים שמחרפין שמו של הב'' ראה מה כתי' בקרבנו אדם כי יקריב מכם קרבן ליוי אנו אומר ליוי קרבן ליוי עולה ובני אדם מחריו ומגתי שמ שלה'ב'ה' לכך נטמ' ﭏ תבהל על כיך וג'כי הﭏהים בשמים ואתה על הארץ וכי מייאמר שאין הﭏהים בשמים ואין בני אדם
17	24	0	0	7	8	7	4	על הארץ ﭏא אמר בחכמתו שלמה כל זמ שהחלש בחלשין מלמעלה הוא נוצח את הגבור מלמטה צא ולמד מאבימל ותשלך אשה' אחת פלח רב על ראש אבימלך ותרץ את גלגליי ואם יהיהגר שאין בבל הגיבי י כמוהו על אחת כמה וכמה ראה מה כתי' בו וכל דאירת ארעא כלא חשיבי וג ונאמר כי יוי עליו נורא מלך גדול ע כל הארך ובני אדם למם על כן יהי דברי מעטים ומה עליך לעית ליתן ידך על פיך ועל זנית שלא לדבר ושלא לשמוע לכך נאמר נפש כי' תחטא והוא עד או רא או ידע זשה' חולק עם עב שהוא שונא ﭏה
13	21	0	0	0	9	8	5	ישמע וג' מי ר ם לאדם שיאמ עליו נפש כי תחטא ﭏא מפני שלאבא והגיד לוכ פלוני גידן של ה' לפי חולקה עמו עונותיו שנ' אם לא יגיד ונשא יעותו לפיכך שלמה חי עם גנב שו שכשט שהב נתפש ושותי עמו ומתוייב עמו כך מי ששומע גידופו שנ הבה ואינ מיד מותחיי ב עמו ולא יאמי אדם מלשון אני אומ אמר ה'''ה' על כל דבר ישבו לשון הרע ועל קלל השם אי ל שי הי ע למה שכשם שאדם מקלל אר יחביו בלעדיו ואיכפת לו אבל אם רהלל אביו בבי הא נותן נמשו יאומרד ל לאבי קללת שכך הוא אמ'
19	27	1	0	9	3	7	4	הלא אביך קנך וג' נפש נכיתוטא ושמעה אמ' ה'ב'ה' אם קשת להעיד ואם לאו אני מעיד שנ' והיו עד ומנין שה'ב'ה' נקר עד ש' ואני היודעועד בוא וראה כל הפרתשיו הפששיו הכתובות בספר הזה נתיב בהן שגגוה ח מפרשה זו שלא נאמר בה שגגה עליו אמ' נשלמה ﭏ תן את פיך להטיא את בשר וﭏ תאמר וג' משל לשנים שרגמו צורת איקוני של מלך אאד שכיר ואחד בעו נששו שניהם עלו לבימה ונתן אפן בןוהעת ופינה לשכי כך כל מי שיבוא חא עליו בשגגה נפש כיתחטא בשגגה ואם נפש אחר תחטאו בפשגגה ו כל עדת ישר' ישגו וכולן מפני מה
8	14	0	10	2	1	5	7	שהן הוטאין בשג ן מבואן קרבן ותכער להן שנ' וסלח לכל עדת בני שר ולג הגר בתוכם כי לכל וג' אבל המגדם נית אפסופס שנ' ונוקב שם יוי מות יומת ו' וכ' ונשבעת חי יוי באמת בש ובצדוה וג' ופס זק אחר את יוי ﭏהיך תיי וג בו תדבק ואחר כך ובשמו תשבע את יוי ﭏהיך שתהיה אותן שלשה שכת' בהן ירא ﭏהים כמו אברהם ש כי עתה ידעתי כי ירא ﭏהים אתה וביהש שכת' בו את הﭏהים אני ירא ובאיו כת' איש תם וישר ויר א ואותו תעבו שתהא עוסקן בתור ותמכו ובו תדבו' שתכבד תלמידי חכמי' ותונה א
13	18	0	1	5	5	11	6	משיך אמ לה משה ליש' לא תהיו שכורין שמ התרתי לכםלישע בשמו אפי' באמת אם יש בכם כל המדות הﭏו אתה רשאי להשנעל בשמו ואם לאו איןאי אתו רשאי לשבע אפי באמת שלא מן שכת' בה והע לשק וקטר לכל ﭏא קיים כל המדות הﭏו ואחר כך את שלי שנ' אםתשוב ישרﭏ נאם יוי יי תפשו ואם ומשי י' ואור מה כתי' אחדיו ונשבעת חי יוי באמת במשפטוג' אמרו רבותי' אכי' עלהאמת אינו יפה לאמ להשתע למ שנו רבויי' לא יהר מם מישרﭏ פרון בנדרים ולא בשחיין ולא להטעות ארת חבי ו בשבועה לומר שאינו שע מעשה בהת המלך שהיו
17	35	2	0	11	2	10	2	שם שני ﭏם עיירןת וכן נחי בו כיצר היה אדם אומר לחבירו שבועה שי הולך למקום כלוני ואוכל ואחשתה יהולין ועושין מקהץן שבועתן וא'עפ'' נחרבו כולן ומה אם הנשבע באמת כך הנשע על שוקר על אחת כמה ומה לכך נאמ' נש י ושמע וכשנא ה'ב'ה' לדון את הבריות לעולם הבא והואן ת הנשבעין לש ר עם מנשפי' ועם המנאכי מנין שכך י ובני ﭏיכם לשפט והייתי עד ממהר וג' ומחיה אותן ומירידן לוהנם אמ' ה''ב'ה' בפה שנתי לכם להיות מהלין ומשבאחין לשמי אתם מחרפין ומגדפין ונשבעי' לשקר כל הבי ייות ל לוסי בראתים שנ' כל פעל יוי למעעהו לא ם
28	27	0	0	3	4	3	4	שאין אתם מקלסי ﭏא מחרפין לפיכך אמ' הת' ורשעעם כיםנערש מה הים הזה הגלים שבתוו נתגנאים ועולים כון שכל אחד מליע ﭏ האחל נשבר וחוזר וחבר רואה אותו אך הוא נשבר ומתגאה ועולה ואינו חוזר בו כך הן רואין ﭏו את ﭏו והן מתגאי לפיכר נמשלו בים והשעעם כים נערש וג' לרשעים אין להם ניליאבעולם אמל הצדיקי ד יש להם השקט שנ' שב יעקןב וש ושמבן וג' ד'' והרשני כים נגרש מה הים הזה יטיטו על פיו ה הרשעים בלזתם על פיהם נשנ' כי נירש ויגרﭏו מימיו וג' ולא מטובתו של אדם שומע חירזפי וגידופין ﭏא מתוך עונות שהיו בידו
13	28	0	0	5	6	7	6	שנ' נש כי תטא ושמיעה ק ﭏה את מוצ שלשה ברשותו של אדם ושלשה אי ברשותו וﭏו הן ברשותו הפה והידים והרגלים הפה אם ברש לעשן בדברי תורה עוסד לומר הרע אומ' לחרם ולנדף אומ הידים רוצה לעשות ביז צדקה עושה לגנוב בהן ו למה שהן ברשות והרגלים ראה לילך לכית הכו להתפלל הולך לבית המדרש הול לשמו דברי תרה הולך לעבוד עז' לעוב לנאי לרוח הויך והשלש שאינן ברשותו האזנים והעיים והאף האזנים מני יו' עובר בשוק ושמע קול חירחפין וגידופין לא היה רצנו לשמוע מה יעשה שמע שלא בטובתו והעינים היה ב ראה עבירהאו נושה או אויב מה
10	21	0	0	6	4	10	11	יעש ראה שלא בטבתו והוא מתחייב בנפשו והאף היה עוברר בשוק או במקום ע'' והריח קטרת של עז' או תבשילימיה יעשה הריה שלא בטבנו וכשה''ב'ה' מבקש אף ﭏו שהן ברשותו אינן בי שותו הי' בא בלעם לקלל את ישר' לא הניחו ה'' אמ לו מה אתה סבו שהכה שלך ברשיתך אמור מה שאני אמר לך בה לקלל ברי להוריע שאפילו ﭏו שברישותו של אדם אינן ברשתו והידים מני כן אתה מו צא בירבעם כיון שח בי ויקרא על המיזבח בדבר יורי ויאמי מזבח מזבח באות שעה אמ' ירבעם כת'ב' בתורה כי יקום מר בקר נביא או חולם חלום וג' אמ'
9	24	2	0	3	8	4	1	לו מה המופת אתה נשתן אמ' לו מופ אתה מבקש זה המופת אשר דבר יוי הנה המזבח נקרע ונשפכך הדשו אשר עליו באותה שעה וישלח ירבעם את ידו מעל המזבא לאמר תכסוהו ותבש ידו ללמרך שאפילו ידו אינה ברשותו ורגלים מני מאנשי ארם בשעה שבאו ﭏ ﭏישע אמ' להם ה'ב'ה וברשות עכמכם אתם הטעה אותם מני שכ כתי' ויאמ ﭏיהם ﭏישע לא זה הדר ולא זו העי לכו אחרי ללממרן שאכי' הרגלים אינן ברשותו של אדם ולא עוד ﭏא ' לעולם הבא שנ' משגיא לגוי ם ויאבדד וג' משגיא לגוים בת' ויאבדם מורידן לאברו והצדיקי' רחאין אותו שנ' ויאו וראו
23	27	0	1	9	11	13	8	בפי האנשים הפושעים בי כי תולעופס לא תמיו פרשכ צות הר ל ז'שה' כי מי בשחק יערוך ליוי ידמה ליוי בבני ﭏים אמר ה'ב'ה' ﭏו הייתי מבקש קרבן לא הייתי אור למיכﭏ שויא אצלי שיקריב לי קרבן וממי אני מבקש קרבן מש' וכן הוא אומ' בלחם הפנים ביום השבת ביום השבת וג' ות היכה יוי בﭏפי ﭏים ברבבות נחלי שמן רוצה הוא ה שאתם מקריבי' לו לא לו שמן אתם מקרבין לו אני מקריי לו ריבי רבבות נחלי שמן מה הקריב אברהם לפני לא איל אחד שנ' וישא אברהם את עיניו וירא וג' אם יו אני י מקריב לו ﭏפי
8	12	0	0	4	5	9	4	ﭏי ומה הקריב אבי ים לא בני חני מ י ובני ובי שנ' האתן בכורי פשעי וג' חטאת עשי זו בתי יאה בלעם הרשע כממה היה ערום התחיל אומר את ע המזבוות וג' לא אמ שבעה מזבוחי ﭏא שבב' המזי וﭏו הן משעה ש'ברא אדם הראשן עד עכשי ז' מוו בו ואני מקריב ז' כעגר שבעתן ומה הן מקרי בי' שתום ה חלות שנ' ולקחת כלת ואפית מיתה יג' כיון שעלה עליו ה'''' אמ' לו רשע מה אתה עושה אמר לו את שבעת המו ערכתי להד' עבח שהיה מוי בשוק והיתה חנית מלאה בשר ועבר הגלוסטיס מותכל בבשר יא אותו
16	27	0	0	3	13	14	9	טבאח שהיה מסתכל בבשרד אמ' לו מרי כבר שלחר אכסונין לבית ביד העבד כך בלעם אמ' לו ה'ב' רשע מ תה עישם בכאן אמ' לפניו את ' מזבוות ערכתי וג' אמ לו הירצה יוי בﭏפי ﭏים אמר לניו האתן בכורי פשעי וג' אמר לו רשע ﭏי הייתי מבקש קרבן הייתי אומ למיכ ולגעיים והיו מקריבי' לפני שנ' כי מי בשחק יערוך ליי וג' זה בלם שבקש להדמות לה'ב'ה' בבני עים בבני אברה יצחר ויעקב שהן אילי העולם אמ' לו ה'ב'ה' מה אתה מבקש להעות עצמך לפי שארכל מן האימית זכי אין אתה יכול אמר לו שביעה היא מ בני ישר'
