מלקה  מה עשה אותו האיש זרע בשנייה  וכן עשה בשנה שניי	bavli.Berakhot.36	3
ובשלישית נתגלה הדבר ואמ חברתי דברים שבני לבצך נשמע	bavli.Berakhot.36	3
בין החיים אלמא דמתים יודעים עתידות  מעשה בועירי	bavli.Berakhot.36	3
ראפקיד זודיה גבי אושפיזכניה עד דיותי ואזיל	bavli.Berakhot.36	4
לבי רב שכיבא אושפי זכניה אזל בתריה לבית הקברות אל זוזי	bavli.Berakhot.36	3
היבא אל שקלינהו מתותיה ענורא דדשא  ועוד מעש	bavli.Berakhot.36	4
דאבוה דשמואל הוה מפקדי ליה זוזי דיתמי כי	bavli.Berakhot.36	6
וח נפשיה לא הזה שמואל לגביה כי אתא שמואל הזה קרייה	bavli.Berakhot.36	7
ליה חדי גברא דאכיל זזזי דיתמי אדל שמואל לבית הקברות אמ	bavli.Berakhot.36	7
אבא היכא אמרו לו המתים טובא אבא איכא אבא בר אבא	bavli.Berakhot.36	4
מבוה דשמוול אמר ליה סליק ליה למתבתא דרקיעא  פרשי	bavli.Berakhot.36	3
		0
שנגלו לו כאילו הם מקבריהם יושבים בע גולה חזייה שמואל	minor_tractate.Avot_D'Rabbi_Natan.6	1
ללוי שהיה חברו דיתיב אבראי פי חוץ לישיבה של שאר מתים	bavli.Nedarim.12	1
אל מאי טעמ לא סליק אל כל הנך שני דלא עילת למתינתא דר	bavli.Kiddushin.145	1
אפס כדאי בכתובו פ הנושא  חזייה דהוה בכי וחייך  אבוה דשמו	bavli.Berakhot.36	2
אל מאיטעמ בכית אל דמטא זימנך למיתה ומאי טעמ חייכת	bavli.Berakhot.36	2
דחשיבת כולי האי בעלמא  וזוזי דיתמי זיל שקלינהו כו	bavli.Berakhot.36	2
מה היא הנפש ברכי נפשי אתיײי אמ דוד הנפש שנתת	yerushalmi.Shabbat.30	1
בי אין אדם יודע מקומה ואין אדם יודע	midrash.Midrash_Tehillim.103	2
מקומו של עולם ואפי חיות הקדש שטוענות את כסאו או ברוך	midrash.Midrash_Tehillim.103	4
כבוד ײ ממקומו  תנא נפש שהיא יחידה שאין אדם ידע את	midrash.Midrash_Tehillim.103	3
מקומה ותקלם למקום שהוא יחיד ואין אדם אדע את מקומו	midrash.Ein_Yaakov.Gittin.2	2
ביעשה באדם אחד ששאל את רג באיזה מקום ﭏהיבם	midrash.Ein_Yaakov.Gittin.2	2
כתוו אל איני יודע  אל זו היא תפלתכם וחכמתכם	midrash.Midrash_Tanchuma_Buber.Tazria.7	2
שאתם מתפללין לפניו בכל אם ואם ואין אתם יודעין את מקומו אל	midrash.Midrash_Tehillim.103	6
זה דבר ששאלת רחוק ממנו ג אלפים וה מאות שנה מהלך אדם	midrash.Midrash_Tehillim.103	7
ביעני  אבל או לך דבר שהוא אצלך באם ובלילה אמור לי באיזה	midrash.Yalkut_Shimoni_on_Nach.857	6
מקום הוא וזה הנפש שהוא נתונה בגופך ואין אתה יודע היכן	midrash.Midrash_Tehillim.103	3
היא אל איני אדע אל רג תיפח נפשיה דההוא גברא  ומה נפש	bavli.Bava_Metzia.171	2
שהיא איצלך אמם ולילה איו אתה יודע היכן היא הק על אחת	midrash.Yalkut_Shimoni_on_Torah.397	3
כמה וכמה אל אכ יפה אנו עושין שאנו משתחוים למעשה ידינן	midrash.Yalkut_Shimoni_on_Nach.857	7
שבכל שנה אנו רואים אותו  אל קג תיפח נפשך מעשה ידיכם	midrash.Yalkut_Shimoni_on_Nach.857	6
אתם רואים אותם זהם אינם רואים אתכם והק הוא רואה אותנו	midrash.Yalkut_Shimoni_on_Nach.857	7
ואין אנחנו יכולא לראותו מפני כבודו דכ כי לא יראני האדם וחי	midrash.Yalkut_Shimoni_on_Torah.431	3
שאל אנטונונוס את ר גמ ונשמה יכוליו ליפטר מיום הדין	midrash.Yalkut_Shimoni_on_Torah.431	3
גוף או מה שחטאתי על ידי הנשמה שמיום שפרשה	midrash.Yalkut_Shimoni_on_Torah.431	3
ממני לא עשיתי מאומה הריני מוטל כאבן בקבר  ונשמה יאמר	midrash.Ein_Yaakov.Sanhedrin.11	5
גוף חטא שמיום שנפרדתי ממנן אני הייתי פורח באויר כצפור	midrash.Ein_Yaakov.Sanhedrin.11	7
אל ר יומשול לך משל למה הדבר דומה למלך בשר ודם שהיה לו	midrash.Ein_Yaakov.Sanhedrin.11	5
פרדס נאה והושיב בו שני שומרין אחד חגר ואחד סומא  אם	midrash.Midrash_Tanchuma_Buber.Vayikra.12	4
אחד אמ חגד לסומא בכורות נאות אני רואה בפרדס בא ונרכב	midrash.Midrash_Tanchuma_Buber.Vayikra.12	9
עליך ונבקש ונביאם ובוכלם רכב חגר על הסומא והביאום ואכלום	bavli.Sanhedrin.182	12
לימים ביא המלך אמ לתם בכורות נאות היכן הם ענה חגר כלום	bavli.Sanhedrin.182	11
		0
		0
		0
		0
		0
		0
		0
		0
		0
יש לי רגלים  וכן הסומא כלום יש לי עינים מה עשה הרכיב חגר על	bavli.Sanhedrin.182	11
הסומא ודן אותם כאחד  כך יעשה המקום ליום הדין מביא הנשמ	bavli.Sanhedrin.182	10
וזורק בתוך הגוף ודן אותם שנ יקרא אל השמים מעל זו נשמה	midrash.Midrash_Tanchuma_Buber.Vayikra.12	11
ואל הארץ לדין עמו זה הגוף  אל תשכח כל גמוליו  כך אמ	midrash.Midrash_Tanchuma_Buber.Vayikra.12	12
דוד לפני המקום  רבונו של עולם כבוד גדול עשית לי שעשי	midrash.Midrash_Tanchuma_Buber.Vayikra.12	10
לאמי דדים במקום בינה פי סמוך ללב  דא שלא יינק במקום הטנופת	bavli.Berakhot.19	5
פי כמ שעשית לבהמה  ר שמעון בן פזי הוה מסדר אגדתא ק	midrash.Yalkut_Shimoni_on_Nach.857	5
קמיה דר יהושו בן לוי ואמ מאי דכ וכל קרבי את	midrash.Yalkut_Shimoni_on_Nach.857	6
שם קדשו  בא וראה שלא כמדת הק מדת בשר ודם  אדם צר צורה	midrash.Yalkut_Shimoni_on_Nach.857	7
על גבי כותל אינו יכול להטיל בו רוח ונשמה קריביים ובני מעיים  אבל	midrash.Yalkut_Shimoni_on_Nach.83	10
המקום צר צורה בתוך צורה ונותן בה רוח ונשמה קריבים ובני מעיי	midrash.Yalkut_Shimoni_on_Nach.83	14
והיינו דאמ חנה אין צור כﭏהינו אין צייר כﭏהינו  הני חמשה	midrash.Yalkut_Shimoni_on_Nach.83	11
ברכי נפשי כנגד המקום שיש בו חמשה דברים מלא כל העול	midrash.Midrash_Tanchuma.Tazria.2	7
וכן הנשמה מלא הגוף  המקום רואה ואינו נראה אף הנשמה רואה	midrash.Yalkut_Shimoni_on_Nach.857	7
ואינו נראה  המקום זן את כל העולם אף הנשמה זנה את הגוף  המק	midrash.Yalkut_Shimoni_on_Nach.857	12
המקום טהור והנשמה טהורה יושב בחדרי חדרים אף הנשמה  ת	midrash.Yalkut_Shimoni_on_Nach.857	15
תבא נשמה שיש בו ה דברים ותשבח להקבה שיש בו ה דברים אי	midrash.Yalkut_Shimoni_on_Nach.857	17
אילו  כל המסתכל באילו ארבעה דברים רתוי הוא כאילו	midrash.Yalkut_Shimoni_on_Nach.857	13
לא בא לעולם  ואילו הן מה למטה ומה למעלה מה לפנים	midrash.Yalkut_Shimoni_on_Nach.857	6
מה לאחור פי רתוי כמ ראוי וטוב ממנו הנפל כך פי בערוך  ורשי	bavli.Chagigah.22	4
פי יפה וטוב היה לו שלא בא לעולם  מה למעלה מן השמים כדכתי	bavli.Chagigah.22	5
בספר בן סירא במופלא ממך אל תדרוש ובמכוסה ממך אל תחקור	bavli.Chagigah.25	8
במה שהורשת התבונן אין חקר בנסתרות  במופלא ממך זה שלא	bavli.Chagigah.25	12
רצה המקום לגלות מה לך לחקור  במה שהורשת במעשה דרך א	bavli.Chagigah.25	13
ארץ ובתלמוד תורה ובמעשה בראשית התבונן  מה לפנים חוץ	midrash.Yalkut_Shimoni_on_Nach.339	3
למחיצת הקרקע למזרח ולצפון ולדרום  ומה לאחור למערב  ושמעת	midrash.Midrash_Lekach_Tov_on_Ruth..1.7	1
עוד רתוי כמ בני אהרן הנותרים  ודריש בתכ ר אליעז או ראויים היו	tosefta.Shabbat.18	1
לישרף אלא שריתה הכתו לאהרן וזהו לרחמים כך פי הערוך כלומר	midrash.Yalkut_Shimoni_on_Torah.530	1
מרוחם היה  וכן רתוי שלא בא לעולם כלומ מרוחם היה אם לא בא לנ	midrash.Yalkut_Shimoni_on_Torah.530	1
לעולם תנו רבנן שלשה הובאו לדין לפני ה	midrash.Yalkut_Shimoni_on_Torah.354	1
המקום ואילו הן עני ועשיר ורשע	midrash.Yalkut_Shimoni_on_Torah.354	1
או לעני למה לא עסקת בתורה אל טרוד היה במזונותי או לו כלום היית	bavli.Yoma.70	3
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
עני יותר מהילל הזקן  אמרו עליו על הילל הזקן שבכל יום ויום היה	bavli.Yoma.70	7
משתכר בשני טרפקיעין פי מיני מטבע  חצי נותן לשומר בית ה	bavli.Yoma.70	10
המדרש וחצי האחר מתפרנס הוא ובני ביתו  פעם אחת לא מו	bavli.Yoma.70	8
מצא להשתכר ולא הניחו שומר בית המדרש ליכנס עלה לגג נתלה	bavli.Yoma.70	10
בלילה וישב על גבי ארובה כדי שישמע דברי ﭏהים חיים מפי שמעי	bavli.Yoma.70	13
ואבטליון ואותו היום ערב שבת היה ותקופת טבת ירד עליו השלג	bavli.Yoma.70	19
כיון שעלה עמוד השחר אמ שמעיה לאבטליון אבטליון אחי בכל יום	midrash.Ein_Yaakov.Yoma.3	18
היה מאיר הבית והיום אפל הציצו עיניו וראה דמות אדם בארובה	midrash.Ein_Yaakov.Yoma.3	15
עלו ומצאו עליו רום ג אמות שלג  פרקוהו ורחצוהו וסכוהו והוש	bavli.Yoma.70	15
והושיבוהו כנגד המדורה אמרו כגון זה ראוי לחלל עליו השבת	bavli.Yoma.70	13
ואל תתמה מזה אמרו עליו על ר עקיבא שבכל יום ויום היה מביא	bavli.Yoma.70	9
חבילה של קש חציו מוכר וחציו מתקשט בו  פעם אחד עמדו	minor_tractate.Avot_D'Rabbi_Natan.6	7
עליו שכיניו ואמרו לו עקיבא אבדתנו בעשן אבל מכור אותו לנו	minor_tractate.Avot_D'Rabbi_Natan.6	13
וטול בדמיו שמן והדלק הנר ושנה לאור הנר  אמ להם הרבה סי	minor_tractate.Avot_D'Rabbi_Natan.6	12
סיפוקין אני מסתפק מהם אחד שאשנה לאורו ואחד שאתחמם	minor_tractate.Avot_D'Rabbi_Natan.6	9
בהם ואחד שאינו מניח לי לישן  ועתיד ר עקיבא לחייב כל עניי	minor_tractate.Avot_D'Rabbi_Natan.6	4
ישר לעתיד בדין שהיה בתחלה עני מדולדל  ואם תאמר שלא הי	minor_tractate.Avot_D'Rabbi_Natan.6	3
לו טיפול בנים ובנות היו לו והיה מפרנסם  ובן מ שנה היה כשהלך	minor_tractate.Avot_D'Rabbi_Natan.6	2
ללמוד ולסוף שש עשרה שנה לימד תורה ברבים  ואמרו לא נפ	minor_tractate.Avot_D'Rabbi_Natan.6	4
נפטר מן העולם עד שהיו לו שלחנות של כסף וזהב  ואשתו הית	minor_tractate.Avot_D'Rabbi_Natan.6	4
יוצאת בקורקסין ובעיר של זהב ובמילת ובבגדי צבעונין ובכלי	minor_tractate.Avot_D'Rabbi_Natan.6	4
פשתן מצויצין  אמרו לו בניו ובנותיו ביישתנו במה שאתה עוש	minor_tractate.Avot_D'Rabbi_Natan.6	1
לאמנו כל הכבוד הזה אמ להם מעט הוא הכבוד שהרבה נצט	midrash.Yalkut_Shimoni_on_Torah.750	1
נצטערה עמי בתורה כדאי ביבמות פ הבא על יבמתו  שנים עשר	midrash.Yalkut_Shimoni_on_Torah.750	1
זוגות תלמידי חכמי היו לו לר עקיבא מתלמידיו מגבת עד אנט	yerushalmi.Sukkah.2	2
אנטיפרס מעשה בר אליעז בן הורקנוס שהניח	yerushalmi.Sukkah.2	2
אביו ואמו עניים וברח לירושלם ולא נטל בידו לא	midrash.Midrash_Tanchuma_Buber.Lech Lecha.10	4
ככר לא מנה ולא כלום אלא נכנס בירושלים כעני בפתח  ובא לפני	midrash.Midrash_Tanchuma_Buber.Lech Lecha.10	9
רבן יוחנ בן זכאי וישב ולמד תורה שם שתים או שלש שנים  בא	midrash.Midrash_Tanchuma_Buber.Lech Lecha.10	8
לשאול לתלמידים והיה מריחים ריח פיו סרוח והיו מטמינים מ	midrash.Midrash_Tanchuma_Buber.Lech Lecha.10	10
ממנו ובורחים ולא היו או לו דבר עד שבאו לפני רבן יוחנ בן זכאי	midrash.Midrash_Tanchuma_Buber.Lech Lecha.10	6
והבין שאין ריח זה אלא מרעב שלא היה לו לאכול  אמ רבן יוחנ בן	midrash.Midrash_Tanchuma_Buber.Lech Lecha.10	6
		0
		0
		0
		0
		0
		0
שנו אלא באדם אחד ובחדשים ובלבנים ובלבד שאין לו להחליף אב	bavli.Beitzah.9	3
יש לו להחליף לא  תבא של בית רג לא היו מקפלין כפלי	bavli.Shabbat.225	8
לבן שלהם מפני שהין להם להחליף  אמ רב הונ אם	bavli.Shabbat.225	14
יש לו להחליף יחליף ואם לאו ישלשל בבגדו  והא מתחזי כרמות	bavli.Shabbat.225	15
כאן דכל אמא לא קעביד והאידנ קעביד לא מתחזי כרמות רוחא	bavli.Shabbat.225	11
כת וכבדתו מעשות דרכיך שלא יהיה מלבושך של שבת כמלבושך	bavli.Shabbat.225	11
של חול כי הא דר יוחנ הוה קרי למאני מכבדותיו  דרכיך שלא יהא	bavli.Shabbat.225	14
הלוכך של שבת כהלוכך של חול  ממצוא חפצך  חפינך אסורים	bavli.Shabbat.225	18
חפיני שמים מותרים  ודבר זה שלא יהא דיבורך של שבת כדיבור	bavli.Shabbat.225	13
של חול אבל הרהור מותר  הלוכך דשבת כי הא דר זירא אם היה	midrash.Yalkut_Shimoni_on_Nach.496	8
מדלג נשבת ופגע באמת המים  אם יכול להניח רגלו ראשונה	bavli.Shabbat.226	13
שתעקר את השנייה מותר ואם לאו אסור שמא יגיעו בגדיו במים	bavli.Shabbat.226	8
ויבא לידי סחיטה  דא משום דפסיעה גסה אסור בשבת ואפי	bavli.Shabbat.226	8
בחול יותר מאמה  דפסיעה בצונית אמה ומאי תקנתיה להדר	yerushalmi.Demai.51	2
בקדושא דבי שמשי  ממצוא חפצך כההיא דעירובין לא	midrash.Ein_Yaakov.Berakhot.6	3
יטיל אדם בתוך שדהו בשבת לידע מה היא צריכה חפיני שמים	midrash.Ein_Yaakov.Berakhot.6	3
מותרין כגון פוסקין צדקה ומשדכין את התינוקות ליארס שלא	bavli.Shabbat.23	3
יהא דנורך של שבת מקח וממכר וחשבונות  מהרהר מותר כלומ	midrash.Yalkut_Shimoni_on_Nach.496	5
יצאה אני צריך להוציא על שדה זו  רב חסדא ורב הונ דאמ	bavli.Shabbat.23	3
תרויהו חשבנות של מנוה מותר וכן אר יעקב מפקחין	bavli.Ketubot.9	3
פיקוח נפש בשבת  ואר אלעז פוסקין צדקה לעניים בשבת  ואר	bavli.Ketubot.9	12
אחנ הולכין לבתי כנסיות ולבתי מדרשות לפקח על עסקי רבים בש	bavli.Ketubot.9	17
בשבת  ותנא בי מנשה משדכין תצוקות ליארס וללמדו ספר ולל	bavli.Ketubot.9	13
וללמדו אומנות  ולקדוש ישר מטבד כגו אנא דשכיחי לן	bavli.Ketubot.9	5
בשרא וחמרא במה נשנייה ונכבדיה  אל אי קגיליתו לאקדושי ולא	bavli.Shabbat.237	5
ולאקדומי אחרוה  ואי רגילותן לאחר זמן סעודה בחול אקדמיה	midrash.Yalkut_Shimoni_on_Nach.496	7
לקדוש ישר מסבד  תבא דבי אליהו לעולם ישכים אדם	midrash.Yalkut_Shimoni_on_Nach.496	4
להוצאת שבת אעפ  שאר עקיבא עשה שבתך חול	bavli.Pesachim.223	3
ואל תצטרך לבריות אבל עושה הוא לכבוד שבת דבר מועט ומאי	bavli.Pesachim.223	8
דבר מועט  אמ רב פפא כסא דהרסנא  אמ רב חסדא	bavli.Pesachim.223	9
לעולם ישכים אדם להוצאת שבת שנ ויהי באום הששי והכי	bavli.Pesachim.223	4
יאשר יביאו לאלתר בערב שבת  אר יוחנ כל המענג את השבת	bavli.Shabbat.234	4
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
		0
נותנין נחלה בלא מצרים שנ אז תתענג על ײ  רב נחמ אמ	bavli.Shabbat.235	5
מוצל משעבוד מלכיות  כתי התם על במתי ארץ  כת הכא ואתה	bavli.Shabbat.235	5
על במותימן תדרוך  אמ רב יהוד כל המענג את השבת נותנין לו	bavli.Shabbat.235	5
משאלות לבו שנ אז תתענג על ײ ויתן לך משאלות לבך  במה	midrash.Yalkut_Shimoni_on_Nach.496	9
מענגה אמ רב יהוד בתבשיל שלתרדים זדגים גדולים וראשי	midrash.Yalkut_Shimoni_on_Nach.496	9
שומים  אמ רב אפי דבר קטן והוא לכבוד שבת עשאו הרי עונג	bavli.Shabbat.236	7
מאי היא אמ רב פפא אפי כסא דהרסנא  ולי נר שבמה דמשום	bavli.Shabbat.236	6
האי אוכלי שום בערב שבת  אר אסי תהא חלקי ממכניסי שב	bavli.Shabbat.236	5
שבת בטבריא וממויני אי שבת בצפורי  פי טבריא ארין עמוקה	bavli.Shabbat.236	2
ומחשכת מבעוד יום כסבורין שחשיכה  וצפורי אושבת נראש	midrash.Ein_Yaakov.Shabbat.16	2
ההר כצפור ועד שקיעת החמה נרא אור גדול  ר חננא מעטף	midrash.Ein_Yaakov.Shabbat.16	1
וקאי אפניא דמעלי שבתא  ואמ באו ונצא לקראת שבת מלכה	bavli.Shabbat.237	7
ד ביר ינאי הוה לביש מאני מעליא ומיכסי ואמ בואי כלה בואי	bavli.Shabbat.237	8
יכלה  רבה בר רב הונא איקלע לבי רבה נר נחמן קריבו ליה תלתי	bavli.Shabbat.237	11
סאין טיחויי  כי הזר אמ מי ידעיתון דאתינ אמ לי מי עדיפת	bavli.Shabbat.237	8
את משבתא  ר אבא זבן בתליסר יוסתירי פשיטי בישרא	bavli.Shabbat.237	10
מתליסר טבחי ומשלים להו לצצורא דדשא אל לשמשיה אשור	bavli.Shabbat.237	10
הייא  כלומ התאשר מהר להכין מנה זו בתוך שאלך להביא אחרת	bavli.Shabbat.237	8
ב ערבי שבתות ר אבהו אתקנתא דדשא יתיב  ומושיף נורא	midrash.Ein_Yaakov.Shabbat.16	3
פי נופח האור לכבוד השנת  רב ענן לביש גונדא  זתנא דני	midrash.Ein_Yaakov.Shabbat.16	5
ר ישמעﭏ בגדים שבישל בהם קדירה לרבו  אל ימזוג בו כוס	bavli.Shabbat.227	5
לרבו  גונדא כלי שחור שעשוי שלא לטנף בגדיו בבשלו הקזירה	bavli.Shabbat.227	5
רב ספרא מחרך רישא  רבא מלח שיבוטא  רב הונ מדליק שרגא	bavli.Shabbat.237	9
רנפפא גדיל פתילתא  רנ חסדא מאליק שרגא פריס סילקא	bavli.Shabbat.237	14
פריס מחתך  רבה ורב יוסף מצלחי ציבי  ר זירא מצתית צתותי	bavli.Shabbat.237	17
פי מצית האור בעינים דקים  רב נחמן בר יצחק מכתף ועייל	bavli.Shabbat.237	7
מכתף ועﭏל ונפיק  מעשה ביוסף מוקר שני דהוה	bavli.Shabbat.237	7
ההוא גוי בשיבבותיה דהוה נפיסוי נכסי טובא	bavli.Shabbat.237	11
אמרי ליה כלדאי כולהו ננסין ליוסף מוקר שני ואכלי ליה אזל	bavli.Shabbat.237	13
ובנינהו לנכסי וזבן בהן מרגניתא  אותביה נסדיניה בהדי דקא	bavli.Shabbat.237	14
אדיל ועבר נהרא אפרחא זיקא לסדיניה שדיא במיא  בלעי	bavli.Shabbat.237	8
נובא  יוסקוה ואייתוה אפניא דמעלי שבתא אמר מאי זבין כי	bavli.Shabbat.237	11
