midrash.Bemidbar_Rabbah	midrash.Bereishit_Rabbah	midrash.Derech_Eretz_Zuta	midrash.Devarim_Rabbah	midrash.Eichah_Rabbah	midrash.Ein_Yaakov	midrash.Esther_Rabbah	midrash.Kohelet_Rabbah	midrash.Mekhilta_DeRabbi_Shimon_Bar_Yochai	midrash.Mekhilta_d'Rabbi_Yishmael	midrash.Midrash_Aggadah	midrash.Midrash_Lekach_Tov_on_Ruth	midrash.Midrash_Mishlei	midrash.Midrash_Tanchuma.	midrash.Midrash_Tanchuma_Buber	midrash.Midrash_Tehillim	midrash.Otzar_Midrashim	midrash.Pesikta_D'Rav_Kahanna	midrash.Pesikta_Rabbati	midrash.Pirkei_DeRabbi_Eliezer	midrash.Ruth_Rabbah	midrash.Seder_Olam_Rabbah	midrash.Sefer_HaYashar	midrash.Shemot_Rabbah	midrash.Shir_HaShirim_Rabbah	midrash.Sifra	midrash.Sifrei_Bamidbar	midrash.Sifrei_Devarim	midrash.Tanna_Debei_Eliyahu_Rabbah	midrash.Tanna_debei_Eliyahu_Zuta	midrash.Vayikra_Rabbah	midrash.Yalkut_Shimoni_on_Nach	midrash.Yalkut_Shimoni_on_Torah	text
0	5	0	0	0	0	0	0	0	0	1	0	0	7	54	0	0	0	2	2	0	0	0	1	0	0	1	0	0	0	0	4	4	וכינשא בפדום ונתן ברינן וראה שהן חייבין כלייה ואחרבך שלח אוחר להופכה לכךן נאמ' ויבאו וגו להלן קורא אוחתן אנשים וכון קורא אותן מלאכים למה חדבר דומ' לאדם שלקח שלטון מן המלך כל ימים שהוא מהלך בסגן לא עשה אלא כמון שנכנס לישב במקומו התחו המכסר' שלו נכנספו לסדום היו מהלכין ובני המדינה מכבדין אותו כך המלאך כשבאו להפוך את המדינה ע שלו נכנסו לסדום היו מהלכין כאושים משבאו לסדום מה כח ויבאושני המלאכים וגמ' בשש שעות ופטרו משאצל אברהם ובאוו לסדום נערב אלא שהיו המלאכם של רחמים והיו ממתיני' שמא ילמד אברה זכות על סדום כדי שלא תהפוך לכך
3	5	0	0	0	0	0	0	1	0	0	0	0	8	47	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	6	8	המתינו עד הערנב' ד"א למה בער שהי מעשיהם של סדומיים חשוכין בלילה ולוט אשב בשער שב כת חמשה דינין בסדום ולוט רעמולם והושיבו אותו ביניהם שנ' אושב בשעל וגו חנוד לנער על פי ררבו וגו' ולפי שגדל בביתו של אברהם וראה יאותו שהוא מקבל את העוברים ואת השבים למה ממני לפיכך הכום המלאכים אצלו מה כת' שם טרם ישכבון וגל' התחילו המלאכים תמיהין לומ' עד אצלינו הגיע הדבר אמ' לונו למלאכי' מה באתם לעשות כן אמ' לו כי משחיתם אנחנו גילו לו מסטירין של הק' לפכך נדחו ממחציתן מאה ושלשים שנה א"ר תנחומ' בר' שלום בגימ' אקל שנה ' ששים
0	0	0	0	0	1	0	0	1	0	1	0	0	8	34	1	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	3	4	ל שלשים מ ארבעים הרי מאה ושלשים שנה ויקראו אל לוט וגו' ונדעה אותן שבשו לעשות לענות אותם א"ר בייא בר אובא מיכן אתה למד שטופין בזימה הא אמ' להן הנה ניאלר מתי נוג' מלמד שבקש להניחנתוך ביתו ולא הניחה לו אשתו מה עשה הכניסן בתוד הקורה שלו וילאו למצוא הפתח כאן שראה שהן ראויין כלייה אף הם הנילו את לוט מה כת' השמש ירנא על הארץ זלײ המטיר וגו ויהפוך את' הערים וגו שמא תאומ' בה' אצבעות הפכן א"ר באחת מאינבעו הפכן שנ' את הערים בחלמיש שלחידן וגו' לעולם הבא כשהק' מרפא את את ישר' מרפא אותה ש ונתתי
0	2	0	0	0	0	0	0	3	0	0	0	0	0	27	5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	13	4	לה כרמים משם עמק עטור לפתח תקוה ונתתי לה את הכומים מיש' אילו הנביאים ואת עמשו עכור שעכרה באפו לפתח תוה אותה השעת הן אומ' שירה ש' וענתה שמה בימי נעורי' אין וע וענתה אלא שירה שנ' ענן לא בתודה ויסע משם אברהם ושה ואולם הר נופ יבול ו' זה סדום וחרבותיה שנ' השמש יינא על האורן וײ המטיר גו' ר"ר שמואל בר בחמן אוי להם לרשעים שהן גורמין למקום של רחמים לעשות מקום של פורענות שהרי דוד מקל הללו יה הללו את ײ מן השמים אין שם לא אש ולא ברך ולא ופרית אמ' אריסטי חבירינן הוד והדר לפני
2	0	0	2	0	0	0	0	0	0	0	0	0	4	41	1	0	4	1	1	0	1	0	0	0	0	0	1	0	0	0	10	2	והיכן הוא מקום פורענות מן הארי שנ' הללו את ײ מן הארץ וגו' הרי מן הארן היאך כת' וײ המר ללמדך שמתחילה נבראוגזר עליהם האי ואמ' להם לפי מה שתהא רואין אודת הבראות כד היו נעשים להם משל למה הדבר דומ' למולייר של זהב בקש מים וחמין הוא מויא מתוכו גחלים הואמוצי מתוכו כך וגזר הק' ואמ' לשמים לפי מה שאתם מאים כך עשו לסדומיים ולבני עשו גופרית ואש ולישר' בטל ש' והיה שארית אווקב כטל וג אמ' הק' מה אני צריך לאילו ו הפד אותם שנ' ויהפוך אני הערים וגו' הוי אומ' ואולם הר נופל יבול וצור יעתק ממקומן
1	1	0	0	0	2	0	0	0	0	0	0	0	4	34	1	0	3	1	0	0	0	0	0	0	0	0	0	1	0	0	4	7	י אין צור אלא אברהם שלנ הביטו אלאברהם א צור חוצבתם וגו' ויסע שם אברהם זשה לא שבתי עם שתי שוא וגו' שנאתי ההל מר עים וגו לייש מתי שוי אילו אנשי המגדל שהיו מתי שוא הלכווומ' לאברה בו והסיע אותנו שאתה גיבור שינו ראין להק שישב לו למעלה והניח אותנן לטהוח הקדש אווחת והרם והרשעי בים נגרש וגו' אין אתם יכולין לישב אפילו שועה אחת לו ידען ולא יבינן ו' לא ידעו דורו של אנוש לאיבינו דור המבול בחש יתהלל בוז המגדל אמ' להם אבר' מה' זום מבסשין מן הק' שנתון למעלה שמא אמר לכם לכן ופרנסו אותי הוא
0	0	0	1	0	4	0	1	1	0	0	1	0	6	26	1	0	1	0	2	0	0	0	0	0	0	0	3	2	0	0	7	1	בורין והוא מפרנ הואע'ה והוא סובל מה אתם מבשים ממנון אמרו לו הבה נבנה לנו עיר וגו' נבנה לנו מגדל ושים עז עלו למעלה ממנו ונעשה מעמו מלחמה ש'ומגדול וראשו בשמים ונעש לנו שם וכת' ושם אלהים אהם ונמ' אמ' להם אבה למה כל אלה אמרו שלא יעשו כמ' שעשה לראשו אמ' להם הנחתם מגדל עזז שם לואתם אומ' נבנשה לנו שם מה עשה הק' הפיינם שנ' ויפין ײ אותם ועד לייכן הא בונין המגז' ול לו' ולעג עמיהם שנ' אשב בשמים ישחקוגף וכיון שעלו למעלה מן המגזל מיד או ידבר וליווזו' ונלו מלמטהש' האשימם אלהים יפלו וו' ואברהם אין
1	0	0	0	0	0	0	0	0	0	2	0	0	6	19	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	12	8	ל עסק עמהם והא' משקיף נ צללווה אוונם ש' אלהים משמים השקיף וגל יבל סדום חד' שנעשו סאים עשו ענמן א'א פושוה אוב אין גם אחד מיכן אתה למד שלי אברה עומה אין אחד אלא אברה שנ' אחד אברהם וגוי התחל אבון אמ' להם לא ושבתי עם מתי שוא שנאותי קהל וגמ' לכך נאמ' ויסע משם יוברה' בכת רעך זרע אביך וונ' רה חנן בן נחש א"ר ברכיה בשם ר' אליעו בן פרת ומה עשה חסד עשה נחש עם דוד שרמ' באשר אבי נמדו הסד אלא בשהיה רבורוד מפני שאול הלך וי זוד וכל בית דוד אבא אצל בני מאב
2	1	0	0	0	1	0	0	0	0	0	1	0	4	25	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	13	2	ש' אמ' להם קבלו בית אבא שסנחם את בני מלך מואנ ויאמר ישבנא אבי וגו' וקבלו אותם ריון שהלך דודעמר והרגלאח ולא ואחאו של דוד ולא נשתירר מהם אלא אחד ש' ליהוד' אליהון מאהידוד א"ר לוי הטון נופתיו ליהודה אליהוא נשתייר מהם אלא אחךד והיאך נמלט אל ברח מאת מואב מלוהלך אצל נחש בני רני עמון קבל שאל מלך מוב ואמ' לנחש שמאו אחד מאחי דוד י' לולוו ושמר עדשבא דוד לכך אמ' אעשה חסד עם הנון ן נחש כאוושהלכו שלוחיא של דוד לעלוו אומרו לו שרי בני עא מהוכן המכדד דוד את אביך בעונך כי של לך מנחמן אל
1	2	0	0	0	1	0	0	0	0	0	0	0	5	24	3	0	1	2	0	0	1	0	0	0	0	0	0	1	0	1	10	4	תאומןבדוד שהק' מזהירו משביל כת בתורה לא עמ יבא עמוני ומואבי וגו' וכת' לא תדרוש שלומם וטובתם הק' מזהירו ויהיומנטל דברי אלהיו ואומ' אעשה חסד עם חנון הלא בעבור חקור העיר מיד ויקח חנון את עבדי וד ויגל ח' ורוחצ הקודש עזוחתשע מעד רע אביך וכך יהורם בן יהושפנ כאון שמלך הרג את ל אחיוש' ויקם יהורם על מלכות אבא וא' ויה' את' כל אחיו וגו' ובית איך אל תבא ביז אידיך וגו' מה וב שכןחרוב מאה רחוק אמ' הק לאביעלך נו ירובעל טוב היה ממך אנימלך מלך פלשתים שהרבה כבוד ניבדאת אברה ויאמ' אבי' הנה ארצי לפניך וגמ' למה
0	1	0	1	0	2	0	0	0	0	0	0	0	5	26	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	4	10	אמ' כן אלא ראה כל אותו הכבוד שכבדו הסש ויבא אלהים אל אבי' נחלום וגו אמ' לו שוטה שבעולם את מת כל השלום חזה יש בידיך ומוחה מת על ושה לא תהרו פבור אלא היא בעולת בעל א"ר יוחא מהו בעולת בעל שהיא בעולת בעל ואבימ' לא קרנ אליה וגו' אמ' לפני רב' ש עו הכל שוין לפניך אמ' אאוב אחת היא הגוי גם אריק תהג הסזומי' על שטאוו לפניך איבדת אותם ואני שלא חטאתי תהרגנ הלא הוא אמר לי וגו' ולא האמנתי וותו עד ששאלתי אותה והיא גם הראו אמרח וגו אמ ה באחת זכתה ובאחת שרת תום' לבבך
0	0	0	0	0	2	0	0	0	0	1	0	0	2	20	0	0	2	2	0	0	0	0	0	0	0	1	1	0	0	0	2	4	יש בידך ובניון 'בפיך איו כת' באוו אולא בתום בתום לבבך אמ לו הק' בקשת לטוא ליאלא אני חשבתי אותך שלא לחטא אמורו עליו על אבימלך שהיה כשר ולאנגע בה אמ' רבו' ישראו שכן כת' ואבימ' לא רב אלהי אמ' אבימי לפני הק' רבו ל הלא אתה מתפייס שלא ננעתי בה עי מפייס את בעלה שלאונעתי בה אמ' ת' לו ה' אי איפנת לךד מפייס הוא אדע הוא למה שנבירו הוא שנ' ועתה השב אי אשת האיש י נביא וגמ' לולריהן צדיקים שכד ה' משבחן ועתה השב ישת האיוגו' אם יתפל עליך תחית ואם איושו' י וישכם אברהוגו שהיה נפה
0	3	0	0	0	1	0	2	0	0	0	0	0	1	15	1	0	2	1	0	0	0	0	1	0	0	0	0	1	0	0	6	8	לבר אימתי ישכים מיד השכים וקרא לכלעבדיו ל תלהלוני אמ' לי הק' בחלום הלילה אמ' לו אל תתרירא החלמות השוא ידברו ביון שאמ' לו כך אמ' ל םים אוינד משיב ויקרא אבימ' לאבר' וגו' אמ' אב לאבימ' ביומרתי רקאין יראת להים וגו' 'א' אמנה מכי' מיכן אמ דרוין אבלגוי מיד ויקח אבמ' וגו' אמ' אברה הנה ארצי לפנידי ררו שכיבד את יוברהם ולא עודאלא לשרה שנ' ולשרה אמ' וגו' א"ר ייא מהו אול ל עיני' נטל לבו מלטת והלביש ועשאה טרונא למה כדי יתבע ור ם בעל ולאו אטל שהיא מלכה ומתייראין לתבוע ותה אר' לו לא' בגרע שעאוףל' נש''
1	0	0	0	0	3	0	0	0	0	0	0	0	1	18	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	ל לשבר' ואתה אמרת והרנת את אחיד שניםאויש על אבן אחני'אלהוו הא' ושל לתל רת שחת בו יפול' וגילפכך אף לאנהפאלא באלחת' ש' תשלד ואחלחו ו רו הק' כתבתי בתורתי יראת ײ תוסיף ימום וש' ל רואאג אהחי'נו מקיני את שנתיו שלאותו ישע לסוכך לילך אולאג' שנים פ' וישר' יונאול ישלותי פפ לפני שבר גאון זה אובימלך שלא נשבר עד שנתגאוה והר את'אחא ולפני כבוד עגוה וה וגזעון אבא ש' ויאמר איש ישר' אל גזעון משל ננו גם אתה אמ' להם לא אמשל אני בכם הן אמרו ג' דברים והוא אמ' להםלו ג' דפרים והוא אמ' להם ג' וברים אמ'
0	0	0	0	0	0	0	0	0	0	0	0	0	4	26	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	10	4	לו הק' אותה אמ' כך חייך אני מעמיד מך בן שימלוך ג' שנה בגד ג' דברים שאמרת הוי לפ בבור ענה לפינך וישר' אובימלך על ישר ג' שנים וישל אליהים אוהרעה וו' וכת' בסוף האון ותבא אלי קללות אתם בן ירובעל מה בת' שם ויגיו לאתם וילך ויעמוד בבר לים למה אבם ללל בשש הלגמזים ולאנש קללות אלא בר עובלי אלא אמ' אתם הבתים שעומדים לחמ' חר גריזים שלנ הוא ששם ננ הדרבות וינאא יישם ותוו הקללות היאוך הוא הדבר אלא אותן והא מריף בראי הר ינל ומקלל וי בם מאללין לא לאילו שהו עומריו כנגח ואילו שמדרבין למי מברבאן
0	0	1	1	0	2	0	0	0	0	1	0	0	3	8	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	4	לא לאילו שבו נמצאו חקלותא באות להיגיוים והביטת להר עיבל לפיכ או' אתם אני מעויד עומד וחל לא ולאנשי שכ אלא על חורירים התחיל אמ' הלד הלנו עצ' לל עלי לךוו' ארל מייל אשים משל הדנרים הלו מה אמ' אתם ביצד הודל וענ אילו יר וא' לו'ית לזית לכה עלינו ז עתניאל בן ב' קנו שהואו משו של יהוד' ש' וית ו יפ פס' תואוו מה אור להם עתניל בו קד' נז שוחא מי ליהורה אמ' לחם י עתניאל נ החלתא את דשני שמו זית זך כתית הלבו אצל זטרם ואאמרל' לתאוה אתה מלכה עלינן זה דבור' אמ' להם הודלתי
0	0	0	0	0	2	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	6	3	את מותקי ו ותי דרה ואאמ' העננים לגפן וג' זה ברק חירעון משל בנון אר גםאתה בנד וגו' אמ' להם לא אונל א אני בבם ו' כו שראו כד וימ' בלהניני אל הארוגו' וה אבייך בס שהית טלו מלאו קוצים כך אבי' שלא היה בומעשי טוזבים באןיאוילו מל למלון ם אור להם וזנת בי ענ' ובטר אני ורוח הקורש צווחנת רביס מבקים לו ומײײ בל ש עיד אמ לה באו חסו בצולי ווטב לכם להמליך אם ימשול בכם שבנים איט בלל ל' בני ימובעל ישלו רבם איש אזם לא מווב לבם להליך לילענו ולא לשבניף השמו או ליהם לך אמ'
0	1	0	0	0	0	0	0	0	0	0	0	0	4	7	2	0	1	6	0	0	0	0	0	0	0	0	0	1	0	0	4	3	להם אתם אם באומת ולו ואם אאן תצנא אש ותאכלאנל בעלי שטם ותבא אליהם קיללת אתם נן ירובל אימתי וישלח אביל רוח וג אשאיה הצריקג' שבבל ם שהם לביו ' שו והון נכרין בית אומו העלם י' ונאמ' טני שלב ל' זרעם זציצא'גוי ול פחד אתשרה ילמדי ו' היית נטה ני אדם לביו ענך י מתבפו באם הכפורים כך שנו ינתי עבאו'פתין אדם ל' אם הביפו' מפי שבינו לבאן הבמו קאוייום הכפורים מכפר עד שירצה ת הביו ואם הולך לנות ללא קבל ה יעטה איי א"ר אפי בן דורמפקת סמן יהאו ביך ל ימי שאותה מרחס על חביריד א לך
1	0	0	0	0	1	0	0	0	0	0	0	0	2	22	0	0	0	5	1	0	2	0	0	0	0	0	0	0	0	0	5	3	מרחס מה יעשה א"ר שמואל במ'בחמן ייא אתפה נר ארם ויעודם שובה אחת ויאמ' לפניהם אוהי קטה הייו בניונאו לוני זה הלנתי מצות ולא פיבל מיד הא רוה שסשפיל עצמו לפני והוא מחם עלאו ' יסור על אנשים וה' בת שם פדה נפשי מו שול מד הליוים מרחם עליו שנ' מודה ועוזב לוחם וגי א"ר זוד וה ל מנת לעזווב וט אתה וציאל אמים שהיה אווב מפ'- מקפיד ברבכא וניראו גדו' היתם מידת חרן מתוחה נג שאחם שחקו לי וגומ' אמ' לאליפז לא בנ של עשו אתה אל ליה אונבא עוחד ומבש ממנו שישים אוותי ליזן ונלבים שלי הייתי מואסו
1	2	0	1	0	2	0	0	0	0	0	0	0	1	26	2	0	0	6	1	0	0	0	0	0	0	2	0	1	0	0	8	4	שנ' אשר מתי ו' וחבידיו וממ אתה הוא היאיש י לך זרי אף לו יש ישישים שנ' ום שנ גם ישיש ווף ון שטגלם עליהם הק' ואמל אליהם מה אתם עומדים לכו ופייסו את איוב שנ' ועתה קחו לכם שבעה פרים וגו' מיד הלבו ועשו כן מלוכת וײשב את שבות אויוב אימתי בהתפללו נעד רעהו כך אבימלך מה כת' ויתפלל ארר' אל היל ל הק אברהם בש רחמי על אבימ' ואני פוקד אותך מיד וײ פקד זשה כי תאנה לא תפיח ולו זה אברה' ואין יבול בגפנים שרה י' אשתך כגפן פורייה וגו' כיחש מעשה זית כיחש כחשים היו היו
2	1	0	0	0	1	1	0	0	0	0	0	0	6	19	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	6	הדברים ' כשבשרו המלאך לשרה שנ' שוב אשוב אליך משה זית מה הזית וה מאיר כךד מלאכי השרת מאירין בדבר אלא כחשים היו לשרה ושדמה לא עשו אוכל אותן השדות מניקין אותו גזר ממכלא נאן אותן הגזירות שגזרת עלי ואמרת כה יהיה זרעך מכלא אותה אותה ואיץן בסר ברפתים איו אתה מעמיד ממניו אפרים ש אפרים עגלה מלומוה ואיי בקר אמרה שרה אימינו אפע"כ' ואני בײ איולוזה א"ו אילו אומ' אין לשרה מילדת ואלו' אין אברה מוליד ואעפ נײ אני בטוחם אמ' להם' הק' ועליאת נבשחת חייד אני פוקד פוק אותך שנ' ו פקד את שרה זשה וידעו בל עיני
