bavli	midrash.Bemidbar_Rabbah	midrash.Bereishit_Rabbah	midrash.Derech_Eretz_Zuta	midrash.Devarim_Rabbah	midrash.Eichah_Rabbah	midrash.Ein_Yaakov	midrash.Esther_Rabbah	midrash.Kohelet_Rabbah	midrash.Mekhilta_DeRabbi_Shimon_Bar_Yochai	midrash.Mekhilta_d'Rabbi_Yishmael	midrash.Midrash_Aggadah	midrash.Midrash_Lekach_Tov_on_Ruth	midrash.Midrash_Mishlei	midrash.Midrash_Tanchuma.	midrash.Midrash_Tanchuma_Buber	midrash.Midrash_Tehillim	midrash.Otzar_Midrashim	midrash.Pesikta_D	midrash.Pesikta_D'Rav_Kahanna	midrash.Pesikta_Rabbati	midrash.Pirkei_DeRabbi_Eliezer	midrash.Ruth_Rabbah	midrash.Seder_Olam_Rabbah	midrash.Sefer_HaYashar	midrash.Shemot_Rabbah	midrash.Shir_HaShirim_Rabbah	midrash.Sifra	midrash.Sifrei_Bamidbar	midrash.Sifrei_Devarim	midrash.Tanna_Debei_Eliyahu_Rabbah	midrash.Tanna_debei_Eliyahu_Zuta	midrash.Vayikra_Rabbah	midrash.Yalkut_Shimoni_on_Nach	midrash.Yalkut_Shimoni_on_Torah	minor_tractate	mishnah	tosefta	yerushalmi	text
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	לפי סדר הפרש היה לו לכתוב יום ראשון במו שכתו בשאר הימים שני שלישי רביעי 
4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	ועוד לפי שכת יום אחד היה לו לכתו שנים שלשה ארבעה  למה בת יום אחד על שם
1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	שהיה הבא בעולמו אחד  שלא נבראו המלאכים עד יום שני  ובמדרש אמרו שנת
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	להם הבה יום אחוי ואיזה יום הדין  ניאמר אלהים הירקיע בתוך המים ויהי מבדיל
1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	בין מים למים  רשני ברא הבה את הרקיע והמלאכים ואשו של בשר ודם ואשה של גבנם
1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	והלא השמים והארץ נבראו ביום ראשון שנא בראשית ברא אלהים את השמים ואת הארץ 
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ולא אמ יהירקיע  יחזק הרקיע שאעפ שהשמים נבראו ביום ראשון לחים היו ביום
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	בשני קרשו מגערת הבה באמרו יהי רקיע  ויעש אלהים את הרקיע ויבדל בין המים
0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	שר מתחת לרקיע ובין המים אשר מעל לרקיע ויהי בין  האלמדת שהם תלויים במאמרו
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ל מלך  ויאמר אלהים יקוו המים מתחת השמים אל מקום אחד ותראה היבשהויהי כן  בשלשי היתה כל הארץ מישור כבקעה והיו מכסין על פני כל הארץ בשצא
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	הדבר מפי הגבורה יקוו המים היו שטוחין על פני כל הארץ ונעשית עמקים על תוכה
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	של ארץ ונתגלגלו המים ונקוו לעמקים שנא ולמקוה המים קרא ימים  מיד נת גאו המי
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	ועלו לכסות הארץ כבתחלה עד שגער בהן הבה וכבשן ונתנן תחת כפות רגליו ומדדן
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	בשעלו שלא לפחות ושלא להוסיף ועשה חול גבול לים כאדם שהוא עושה עדר לברמו
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	וכשהן עולין רואין את החול לפניהם וחוזרין לאחוריהם  שנא האותי לא תיראו נאום 
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ויאמר אלהים  הי מחורות חסר ואו על היה יום מארה ליפול אסכרה בתינוהות
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	הוא ששנינו ברביעי היו מתענין על אסברה שלא תעול בתינוקות ביום הרביעי חבר
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	שני מאורות לא זה גדול מזה ולאזה גדול מזה שוין בגבהן ובתוארן ובאורן שנא
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ויעש אלהים את שני המאורות הגדולים  נבנס תחרות ביניהן זה אומר לזה אני גדול
2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ממך וזה אומ לזה אני גדול ממך ולא היה שלום ביניהם  וליתן שלום ביניהם מה
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	עשה הבה הגדיל את האחד והקטי את האחד  שנא את המאור הגדול לממשלת היו
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	ואת המאור הקטון לממשלת הלילה  והיו לאותות ולמועדים ולימים ושנים  כשהמאורו
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	לוהין סימן רע הוא לעולם שנא מאותות השמים אל תחתו כי יחתו הגוים מאלה 
0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	בעשותכם רצון הבה אין אתם צריבין לדאוג מן הפורענות  ולמועדים על שם העתד
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	שעתידין להצטוות על המועדים והם מונים למולד הלבנה  ויאמר אלהים ישרצו המי
1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	שרץ נכשחיה ועוף יעופף על הארץ  אמרו חזל בחמישי השריץ מן המים כל מין 
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	עוף כנף זכרים ונקבות טהורים וטמאים  ובשני סימנין מטהרין בזפה ובקרקבן נקלף
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	ר אליעזר אומ אף באצבע יתירה ושני מיני עופות נבחרו לקרבן עולה  ואלו הן תור
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	סימען הן מטהרין בסנפיר וקשקשת הם  אם אין להם סנכיר וקשקשת טמאים 
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ביום הששי הוציא מן הארץ כל מיני בהמות זכרים ונקבות טהורים וטמאים ונשנ
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	סימנין הן מטהרין במעלה גרה ובמפריסי הפרסה  ושלשה מיני בהמות נבחרו לקרבן
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	בדמותנו  מכאן למדנו ענותנותו של הבה לפי שהאדם בדמות המלאכם ויתקנאו
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	בו לפי נמלך בהן  אמ להן יש בעליונים בדמותו אם אין בתחשנים כדמותי הרי י
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	קנאה במטשה בראשית  כעשה אדם  אעפ שלא סייעוהו ביביצתי ואעפ שישי
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	בזה למינין לרד ות לא נמנע למנים הכתו מלמד דרך ארץ ומדת ענוה שיהא הגד 
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	נמלך ננוטל רשות מן הקטון  ותשובת המינין כתו בצדן  שנא ויברא אלהים ארב
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	האדם  ולא אמ ויבראו  אמרה תורה לפני הבה רשע האדם הזה שלך לעשות קצר
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ימים ושבע ראגם ויבא לידי מטא  ואם אין אתה מאריך אפך עמו ראוי הוא שלאבא
0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	עולם  אמ לה הבה על חנם נקראתי ארך אפים ורב חסד  התחיל מקבץ את עתרו של
2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	אדם הראשון מא רבע פנות העולם אדום שחור לבן ירקרק  אדום זה הדם  שחור 
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	אלו הקרבים  לבן אלו עצמות וגידים  ירקרק  זה הגוף  ולמה מארבע פנות העולם
1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	שאם יבא אדם מן המזרא למערב ומן המערב למזרח או בכל מקום שילך ויגע קצ
1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	להפטר מן העולם שלא תאמר הארץ אין עפד גופך משלי  ללמדך שכל מקום
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	2	שהאדם נפטר מן העולם משם הוא עפר גופו ולשם הוא חוזר לעפד  שנא כי עפר
3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	אתה ואל עפר תשוב  ויברא אלרים את האדם בצלמו זכר ונקבה ברא אותם
3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ולהלן הוא אומ ויקח אחת מצלעותיו ויסגור בשר תחתנה  מדרש אודה  שבראו
0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	שתי פרצופות ברי אה ראשונה ואחר כך חלקן  וירא אלהים את כל אשר עשה והנה
2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	טוב מאד יום הששי  הוביף הא בששי בגמר מעשה בראשית לומ שהתנה עליה
2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	על מנת שיקבלו ישראל עליהם ה חומשי תורה  ויכולו השמים והארץ וכל צבאם 
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	וכי שמים וארץ כלו מלהיות ומלעמוד עוד והלא הכתי אמ עליהם הלא את השמי
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ואת הארץ אני מלא  אלא שכלו ממעשה ומפועל וממלאכה ומצווי  אמרו ישראל
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	לפני הבה רשע שמים וארץ כלית ממלאכת ומפועל ומצווי  רחמיך וחסדיך אל תבלא
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ממנו שאם תכלא רחמיך וחסדיך אין אנו יכולין לעמוד שעל רחמיך וחסדיך העולם
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	עומד שנא זכור רחמיך יי וחסדך כימעולם המה  ויכל אלהים ביום השביעי מלאכתו
0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	אשר עשה  מה היה העולם חסר מנוחה באת שבת באת מנוחה כלתה ונגמרה
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	המלאכה  וישבות ביום השביעי מכל מלאכתו  הבה שמר וקדש את השבת וישראל
0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	אינם חיבים אלא לשמור ולקדש את השבת  תדע לך שהוא כן בואוראה שכשהיה נותן
1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	להם את המן היה נותן להם בששת ימי המעשה ובשבת לא היה נותן להם  שמא תאמ
2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	לא היה בו כח ליתן להם בכל יום אלא ששבת לפניו  לפי היח נותן להם בששי לחם יומים 
0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	כיון שראו ישראל ששבת לכניו שבתו גם הם שנא וישבתו העם ביום השביעי  ויברך
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	אלהים את יום השביעי ויקדש אותו  מבאן אמרו כל המברך ומקדש על היין בלילי 
0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	שבתות מאריםין ימיו בעולם הזה ובעולם הבא  שנא כי בי ירב ימיך ויוסיפו לך שנות
1	0	0	1	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	חיים  ירבו ימיך בעולם הזה  ויוסיפו לך שנות חיים בעולם הבא  אמ הבה השבת
2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	הזה נתתי להם לי שראלי אות ביני לבינם שבששת ימי המעשה פעלתי כל העולם ובז
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	נחתי  לפי נתתי להם לישראל ששת ימי המעשה והשביעי יום ברכה וקדושה הוא לי
2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ולהם לכך נאמר ביני ובין בני ישראל אות היא לעולם  שבעה ימים ברא הבה ומכלן
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	לא בחר אלא יום השביעי  שנא ויברך אלהים את יום השביעי  וכל מי שהוא משמראת אשבת אשריו בעולם מזה ואשרין בעולם הבא  ומהו שמירתה שלא לעשותב
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	שום מלאכה ולא לה בעיר בה אש ושלא לצאת חוץ לתחום אפי רגל אחת  ושלא להוצי
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	דבר מרשות לרשות  וזו היא שמירתה שנא ושמרו בני ישראל את השבת  חבה יתרה
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	חבב הבה לאדם הראשון שבראו מטקום קדוש ממקום בית המקדש והכניסו לאפדנו
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	שנא ויקח י אלהים את האדם וינחהו בגן עדן  מאי זה מקום לקחו ממקום בית
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	המקדש והכניסו לפלטין שלו בגן עדן שנא ויניחהו בגן עדן לעבדה ולשמרה  שמא
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	תאמר יש מלאכה בגן עדן לזמור כמים לחרוש שבות או לקצור או לעטר או לכתח
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	ולשדד אדמה והלא כל האילנות נצמחין מאיליהן  אושמא תאמר יש מלאכה בגן עדן
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	להשהות את הגן  והלא נהר מושך ויצא מעדן ומשקה את הגן שנא ונהר יוצא מעדן
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	להשקות את הגן  מה הלשון הזה לעבדה ולשמרה אלא לעסוק בדברי תורה ולשמור
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	מצותיה  שנא לשמור את דרך עץ החיים ואין עץ החיים אלא תורה שנא עץ חיים
