Tanakh.Commentary.Abarbanel	Tanakh.Commentary.Bekhor_Shor	Tanakh.Commentary.Chizkuni	Tanakh.Commentary.Daat_Zkenim	Tanakh.Commentary.Ibn_Ezra	Tanakh.Commentary.Paaneach_Raza	Tanakh.Commentary.Radak	Tanakh.Commentary.Ralbag	Tanakh.Commentary.Ramban	Tanakh.Commentary.Rashbam	Tanakh.Commentary.Rashi	Tanakh.Commentary.Rosh	bavli	midrash.Bemidbar_Rabbah	midrash.Bereishit_Rabbah	midrash.Derech_Eretz_Zuta	midrash.Devarim_Rabbah	midrash.Eichah_Rabbah	midrash.Ein_Yaakov	midrash.Esther_Rabbah	midrash.Kohelet_Rabbah	midrash.Mekhilta_DeRabbi_Shimon_Bar_Yochai	midrash.Mekhilta_DeRabbi_Shimon_Bar_Yochai.Additions	midrash.Midrash_Aggadah	midrash.Midrash_Lekach_Tov_on_Ruth	midrash.Midrash_Mishlei	midrash.Midrash_Tanchuma	midrash.Midrash_Tanchuma_Buber	midrash.Midrash_Tehillim	midrash.Pesikta_D'Rav_Kahanna	midrash.Pesikta_Rabbati	midrash.Pirkei_DeRabbi_Eliezer	midrash.Ruth_Rabbah	midrash.Seder_Olam_Rabbah	midrash.Shemot_Rabbah	midrash.Shir_HaShirim_Rabbah	midrash.Sifrei_Bamidbar	midrash.Sifrei_Devarim	midrash.Tanna_Debei_Eliyahu_Rabbah	midrash.Vayikra_Rabbah	minor_tractate.Avot_D'Rabbi_Natan	minor_tractate.Tractate_Derekh_Eretz_Rabbah	minor_tractate.Tractate_Kallah_Rabbati	minor_tractate.Tractate_Soferim	mishnah	tosefta	yerushalmi	text
2	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	האדם  ולא אמ ויבראו  אמרה תורה לפני הבה רשע האדם הזה שלך לעשות קצר
0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	ימים ושבע ראגם ויבא לידי מטא  ואם אין אתה מאריך אפך עמו ראוי הוא שלאבא
0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	עולם  אמ לה הבה על חנם נקראתי ארך אפים ורב חסד  התחיל מקבץ את עתרו של
0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	אדם הראשון מא רבע פנות העולם אדום שחור לבן ירקרק  אדום זה הדם  שחור 
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	אלו הקרבים  לבן אלו עצמות וגידים  ירקרק  זה הגוף  ולמה מארבע פנות העולם
1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	שאם יבא אדם מן המזרא למערב ומן המערב למזרח או בכל מקום שילך ויגע קצ
0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	להפטר מן העולם שלא תאמר הארץ אין עפד גופך משלי  ללמדך שכל מקום
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	6	0	0	0	1	0	2	0	0	1	0	0	0	0	0	2	שהאדם נפטר מן העולם משם הוא עפר גופו ולשם הוא חוזר לעפד  שנא כי עפר
0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	6	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	אתה ואל עפר תשוב  ויברא אלרים את האדם בצלמו זכר ונקבה ברא אותם
0	0	0	0	0	1	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ולהלן הוא אומ ויקח אחת מצלעותיו ויסגור בשר תחתנה  מדרש אודה  שבראו
0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	שתי פרצופות ברי אה ראשונה ואחר כך חלקן  וירא אלהים את כל אשר עשה והנה
0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	טוב מאד יום הששי  הוביף הא בששי בגמר מעשה בראשית לומ שהתנה עליה
1	0	0	0	0	1	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	על מנת שיקבלו ישראל עליהם ה חומשי תורה  ויכולו השמים והארץ וכל צבאם 
1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	וכי שמים וארץ כלו מלהיות ומלעמוד עוד והלא הכתי אמ עליהם הלא את השמי
0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	ואת הארץ אני מלא  אלא שכלו ממעשה ומפועל וממלאכה ומצווי  אמרו ישראל
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	לפני הבה רשע שמים וארץ כלית ממלאכת ומפועל ומצווי  רחמיך וחסדיך אל תבלא
0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ממנו שאם תכלא רחמיך וחסדיך אין אנו יכולין לעמוד שעל רחמיך וחסדיך העולם
1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	עומד שנא זכור רחמיך יי וחסדך כימעולם המה  ויכל אלהים ביום השביעי מלאכתו
0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	אשר עשה  מה היה העולם חסר מנוחה באת שבת באת מנוחה כלתה ונגמרה
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	המלאכה  וישבות ביום השביעי מכל מלאכתו  הבה שמר וקדש את השבת וישראל
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	אינם חיבים אלא לשמור ולקדש את השבת  תדע לך שהוא כן בואוראה שכשהיה נותן
0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	4	3	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	להם את המן היה נותן להם בששת ימי המעשה ובשבת לא היה נותן להם  שמא תאמ
0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	3	2	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	לא היה בו כח ליתן להם בכל יום אלא ששבת לפניו  לפי היח נותן להם בששי לחם יומים 
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	כיון שראו ישראל ששבת לכניו שבתו גם הם שנא וישבתו העם ביום השביעי  ויברך
0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	אלהים את יום השביעי ויקדש אותו  מבאן אמרו כל המברך ומקדש על היין בלילי 
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	שבתות מאריםין ימיו בעולם הזה ובעולם הבא  שנא כי בי ירב ימיך ויוסיפו לך שנות
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	חיים  ירבו ימיך בעולם הזה  ויוסיפו לך שנות חיים בעולם הבא  אמ הבה השבת
