midrash.Midrash_Tanchuma.	midrash.Midrash_Tanchuma_Buber.	midrash.Pesikta_Rabbati.	midrash.Pesikta_D'Rav_Kahanna.	midrash.Yalkut_Shimoni_on_Torah.	midrash.Yalkut_Shimoni_on_Nach.	bavli.	yerushalmi.	text
38	36	0	2	8	2	6	2	וייצר יוי ﭏהים את האדם עפר מן האדמה והנפש בן פלטין שלמעלן שנ' ויפח באפיו נשמת חיים ושניהם חוטאין למה שאי אפשר לגוף להיות בלא נפש שאם אין נפש אין גוף ואם אין גוף אין נפש חוטאה לפיכך פינה לגוף ונתן לנפש אפופסין שנ' הנפש החוטאת היא תמות לפיכך הגוף מטמאה נפש כי תחטא מה הוא בשגגה מכל מצות יוי ללמדך שכל החוטא בשגגה עבר על מצות יוי ללמדך כן וכן הוא אומ' וכי תשגו ולא תעשו וג' וכן דוד אומר שגיאות מי יבין וג' ואומר גם מזדים חשוך עבדך וג' ונקיתי מפשע רב וג' מחטא גדול אשר עשיתי ואם
41	54	0	1	1	7	10	6	תעשה כן יהיו לרצון אמרי פי מיכן את למד שכל החוטא בשגגה נקרא חוטא שנו רבותי' שגגת תלמוד עולה זדון לפיכך כתיב נפש כי תחטא לפי שהיא מלמעלן ולא כת' אדם לעתיד לבוא ה'ב'ה' מביא את הנפש ואומר לה למה עברת על כל מצות והיא אומרת הגוף עבר על כל המצות משיצאתי ממנו שמא חטאתי חוזר ואומר לגוף למה חטאת אומר לו הנפש חטאה משיצאת הנפש ממני שמא חטאתי באותה שעה מה ה'ב'ה' עושה מביאם שניהם ודנם כאחת ל'ה'ד' למלך שהיה לו פרדס והיה בתוכו שדות טובות חשב המלך בלבו אם מושיב אני שם שומרין יהיו אוכלין את הבכורות מה
27	37	0	0	3	6	17	5	עשה השיב בו שנים אחד חיגר ואחד סומא והן יושבין ומריחין את הפירות אמר חיגר לסומא בכורות נאות אני רואה בפרדס ועכשיו בוא והרכיבני על כתפך נביאם ונאכלם הרכיב חגר על סומא והביאו ואכלו שניהם לימי' בא המלך בקש הבכורות ולא מצאן אמר לחגר מי אכלן אמר לו כלום יש לי רגלים אמר לסומא אתה אכלת אותם אמר לו כלום יש לי עינים הרכיב את החגר על הסומא ואמר להם כעין שגנבתם את הביכורות כך אני דן אתכם ואף ה'ב'ה' מביא את הנשמה וזורקה בגוף שנ' יקרא ﭏ השמי' מעל וﭏ הארץ וג' יקרא ﭏ השמים מעל זו נשמה וﭏ
22	37	0	1	3	12	6	3	הארץ לדין עמו זה הגוף וצפה דוד היאך ה'ב'ה' דן את בריותיו התחיל לבקש רחמים על נפשו ואמר רבון העולמים כשאתה דן את בריותיך ﭏ תדינני כיוצא בהם וﭏ תבוא במשפט את עבדך כי לא וג' ﭏא צדקה עשה עמי שנ' אני בצדק אחזה פניך וג' אמ' ה'ב'ה' בעולם הזה על ידי שיצר רע שולט בכם הייתם חוטאים אבל לעולם הבא אני עוקרו מכם שנ' והסירותי את לב האבן מבשרכם וג' ונפש כי תחטא ושמעה וג' ז'ש'ה' ﭏ תבהל על פיך ולבך ﭏ ימהר להוציא דבר וג' על כן יהיו דבריך מעטים ﭏו בני אדם שמחרפין שמו של ה'ב'ה' בוא
29	36	0	1	3	11	4	0	וראה כשנבראו העליונים והתחתונים בחצי השם נבראו שנ' כי ביה יוי צור עולמים ולמה לא נבראו בכל השם שכל העולם אין כדאי הוא להזכיר את השם שלם אוי להם לרשעים שמחרפין שמו של ה'ב'ה' ראה מה כתי' בקרבנות אדם כי יקריב מכם קרבן ליוי אינו אומר ליוי קרבן ליוי עולה ובני אדם מחרפין ומגדפין שמו של ה'ב'ה' לכך נאמ' ﭏ תבהל על פיך וג' כי הﭏהים בשמים ואתה על הארץ וכי מי יאמר שאין הﭏהים בשמים ואין בני אדם על הארץ ﭏא אמר בחכמתו שלמה כל זמן שהחלש בחלשין מלמעלה הוא נוצח את הגבור מלמטה צא ולמד מאבימלך ותשלך אשה
26	33	0	0	5	4	4	2	אחת פלח רכב על ראש אבימלך ותרץ את גלגלתו ואם יהיה גבור שאין בכל הגיבורים כמוהו על אחת כמה וכמה ראה מה כתי' בו וכל דאירי ארעא כלא חשיבין וג' ונאמר כי יוי עליון נורא מלך גדול על כל הארץ ובני אדם למטן על כן יהיו דבריך מעטים ומה עליך לעשות ליתן ידך על פיך ועל אזניך שלא לדבר ושלא לשמוע לכך נאמר נפש כי תחטא והוא עד או ראה או ידע ז'ש'ה' חולק עם גנב שונא נפשו ﭏה ישמע וג' מי גרם לאדם שיאמר עליו נפש כי תחטא ﭏא מפני שלא בא והגיד לחכם פלוני גידף שמו של ה'ב'ה'
32	48	0	0	1	3	9	7	לפיכך חולק עמו עונותיו שנ' אם לא יגיד ונשא עונו לפיכך אמ' שלמה חולק עם גנב שונא שכשם שהגנב נתפש ושותפו עמו ומתחייב עמו כך מי ששומע גידופו של ה'ב'ה' ואינו מגיד מתחייב עמו ולא יאמר אדם מלשון הרע אני אומר אמר ה'ב'ה' על כל דבר יש בו לשון הרע ועל קללת השם אין בו לשון הרע למה שכשם שאדם מקלל את חבירו בלעדיו ואיכפת לו אבל אם קלל אביו בפניו הוא נותן נפשו ואומר לו לאבי קללת שכך הוא אומ' הלא אביך קנך וג' נפש כי תחטא ושמעה אמ' ה'ב'ה' אם בקשת להעיד ואם לאו אני מעיד שנ' והוא
38	45	1	0	5	2	6	4	עד ומנין שה'ב'ה' נקרא עד שנ' ואנכי היודע ועד בוא וראה כל הפרשיות הכתובות בספר הזה כתיב בהן שגגה חוץ מפרשה זו שלא נאמר בה שגגה עליו אמ' שלמה ﭏ תתן את פיך להחטיא את בשרך וﭏ תאמר וג' משל לשנים שרגמו צורת איקונין של מלך אחד שכור ואחד בדעתו נתפשו שניהם עלו לבימה ונתן אפופסין לבן הדעת ופינה לשכור כך כל מי שיבוא חטא עליו בשגגה נפש כי תחטא בשגגה ואם נפש אחת תחטא בשגגה ואם כל עדת ישר' ישגו וכולן מפני מה שהן חוטאין בשגגה הן מביאין קרבן ונתכפר להן שנ' ונסלח לכל עדת בני ישר' ולגר הגר
22	38	0	11	4	5	9	7	בתוכם כי לכל וג' אבל המגדף נותן אפופסין שנ' ונוקב שם יוי מות יומת וג' וכת' ונשבעת חי יוי באמת במשפט ובצדקה וג' ופסוק אחר את יוי ﭏהיך תירא וג' ובו תדבק ואחר כך ובשמו תשבע את יוי ﭏהיך שתהיה כאותן שלשה שכת' בהן ירא ﭏהים כמו אברהם שכת' כי עתה ידעתי כי ירא ﭏהים אתה וביוסף שכת' בו את הﭏהים אני ירא ובאיוב כתי' איש תם וישר וירא ﭏהי' ואותו תעבוד שתהא עוסק בתורה ובמצות ובו תדבק שתכבד תלמידי חכמי' ותהנה אותם מנכסיך אמר להן משה לישר' לא תהיו סבורין שמא התרתי לכם לישבע בשמו אפי' באמת אם יש
25	50	1	2	1	3	8	7	בכם כל המדות הﭏו אתה רשאי להשבע בשמו ואם לאו אין אתה רשאי לישבע אפי' באמת שלא תהיה מן שכת' בהן והשבע לשקר וקטר לבעל ﭏא קיים כל המדות הﭏו ואחר כך את שלי שנ' אם תשוב ישרﭏ נאם יוי ﭏי תשוב ואם תסיר וג' ואחר כך מה כתי' אחריו ונשבעת חי יוי באמת במשפט וג' אמרו רבותי' אפי' על האמת אינו יפה לאדם להשבע למה שנו רבותי' לא יהא אדם מישרﭏ פרוץ בנדרים ולא בשחוק ולא להטעות את חבירו בשבועה לומר שאינה שבועה מעשה בהר המלך שהיו שם שני ﭏפים עיירות וכולן נחרבו כיצד היה אדם אומר לחבירו שבועה
31	46	3	1	9	1	6	2	שאני הולך למקום פלוני ואוכל ואשתה והולכין ועושין ומקיימין שבועתן וא'ע'פ'כ' נחרבו כולן ומה אם הנשבע באמת כך הנשבע על שקר על אחת כמה וכמה לכך נאמ' נפש כי תחטא ושמעה וכשבא ה'ב'ה' לדון את הבריות לעולם הבא והוא ידין את הנשבעין לשקר עם מכשפי' ועם המנאפי' מנין שכך כתי' וקרבתי ﭏיכם למשפט והייתי עד ממהר וג' ומחיה אותן ומורידן לגיהנם אמ' ה'ב'ה' בפה שנתתי לכם להיות מהללין ומשבחין לשמי אתם מחרפין ומגדפין ונשבעי' לשקר כל הבריות לקלוסי בראתים שנ' כל פעל יוי למענהו לא דייכם שאין אתם מקלסי' ﭏא מחרפין לפיכך אמ' הכת' והרשעים כים נגרש מה הים הזה
31	40	0	0	2	6	7	9	הגלים שבתוכו נתגאים ועולים כיון שכל אחד הוא מגיע ﭏ החול נשבר וחוזר וחברו רואה אותו אף הוא נשבר ומתגאה ועולה ואינו חוזר בו כך הן הרשעי' רואין ﭏו את ﭏו והן מתגאין לפיכך נמשלו בים והרשעים כים נגרש וג' לרשעים אין להם נייח בעולם אבל הצדיקי' ויקרא יש להם השקט שנ' ושב יעקב ושקט ושאנן וג' ד'א' והרשעי' כים נגרש מה הים הזה טיטו על פיו כך הרשעים נבלותם על פיהם שנ' כים נגרש ויגרשו מימיו וג' ולא מטובתו של אדם שומע חירופין וגידופין ﭏא מתוך עונות שהיו בידו שנ' נפש כי תחטא ושמעה קול ﭏה את מוצא שלשה
20	46	0	0	6	9	8	11	ברשותו של אדם ושלשה אינן ברשותו וﭏו הן ברשותו הפה והידים והרגלים הפה אם בקש לעסוק בדברי תורה עוסק לומר הרע אומ' לחרף ולגדף אומר הידים רוצה לעשות בהן צדקה עושה לגנוב בהן גונב למה שהן ברשותו והרגלים רוצה לילך לבית הכנסת להתפלל הולך לבית המדרש הולך לשמוע דברי תורה הולך לעבוד ע'ז' לגנוב לנאוף לרצוח הולך והשלשה שאינן ברשותו האזנים והעינים והאף האזנים מנין היה עובר בשוק ושמע קול חירופין וגידופין לא היה רצונו לשמוע מה יעשה שמע שלא בטובתו והעינים היה עובר בשוק ראה עבירה או נושה או אויב מה יעשה ראה שלא בטובתו והוא מתחייב בנפשו והאף
9	33	0	3	4	8	8	7	היה עובר בשוק או במקום ע'ז' והריח קטרת של ע'ז' או תבשילי' טמאים מה יעשה הריח שלא בטובתו וכשה'ב'ה' מבקש אף ﭏו שהן ברשותו אינן ברשותו הפה בא בלעם לקלל את ישר' לא הניחו ה'ב'ה' אמ' לו מה אתה סבור שהפה שלך ברשותך אמור מה שאני אומר לך באתה לקלל ברך להודיעך שאפילו ﭏו שברשותו של אדם אינן ברשותו והידים מנין כן אתה מוצא בירבעם כיון שבא הנבי' ויקרא על המזבח בדבר יוי ויאמר מזבח מזבח באותה שעה אמ' ירבעם משה כתב בתורה כי יקום בקרבך נביא או חולם חלום וג' אמ' לו מה המופת אתה נותן לי אמ' לו
13	20	0	0	3	3	5	2	מופת אתה מבקש זה המופת אשר דבר יוי הנה המזבח נקרע ונשפך הדשן אשר עליו באותה שעה וישלח ירבעם את ידו מעל המזבח לאמר תפסוהו ותיבש ידו ללמדך שאפילו ידו אינה ברשותו ורגלים מנין מאנשי ארם בשעה שבאו ﭏ ﭏישע אמ' להם ה'ב'ה' וברשות עצמכם אתם הטעה אותם בדרך מנין שכך כתי' ויאמר ﭏיהם ﭏישע לא זה הדרך ולא זו העיר לכו אחרי ללמדך שאפי' הרגלים אינן ברשותו של אדם ולא עוד ﭏא אפי' לעולם הבא שנ' משגיא לגוים ויאבדם וג' משגיא לגוים כת' ויאבדם מורידן לאבדון והצדיקי' רואין אותן שנ' ויצאו וראו בפגרי האנשים הפושעים בי כי תולעתם לא
24	28	0	0	5	11	13	10	תמות וג' ה'ב'ה' ברחמיו יבנה בית המקדש בימינו כמו שכת' בונה ירושל{} יו' נדחי יש' יכ' אמ' {} יהי רצון פרשת צו את אהרן ז'ש'ה' כי מי בשחק יערוך ליוי ידמה ליוי בבני ﭏים אמר ה'ב'ה' ﭏו הייתי מבקש קרבן לא הייתי אומר למיכﭏ שהוא אצלי שיקריב לי קרבן וממי אני מבקש קרבן מישר' וכן הוא אומ' בלחם הפנים ביום השבת ביום השבת וג' וכת' הירצה יוי בﭏפי ﭏים ברבבות נחלי שמן רוצה הוא מה שאתם מקריבי' לו לא לוג שמן אתם מקריבין לו אני מקריב לו ריבי רבבות נחלי שמן מה הקריב אברהם לפניו לא איל אחד שנ' וישא
20	33	0	0	3	18	11	5	אברהם את עיניו וירא וג' אם רוצה אני הייתי מקריב לו ﭏפי ﭏים ומה הקריב אברהם לא בנו אני מקריב לו בני ובתי שנ' האתן בכורי פשעי וג' חטאת נפשי זו בתי ראה בלעם הרשע כמה היה ערום התחיל אומר את שבעת המזבחות וג' לא אמר שבעה מזבחות ﭏא שבע' המזבחות וﭏו הן משעה שנברא אדם הראשון עד עכשיו ז' מזבחות בנו ואני מקריב ז' כנגד שבעתן ומה הן מקריבי' שתים עשרה חלות שנ' ולקחת סלת ואפית אותה וג' כיון שנגלה עליו ה'ב'ה' אמ' לו רשע מה אתה עושה אמר לו את שבעת המזבחות ערכתי ל'ה'ד' לטבח שהיה מוכר בשוק
25	43	0	0	5	24	7	6	והיתה חנותו מלאה בשר ועבר הגלוסטים מסתכל בבשר ראה אותו טבח שהיה מסתכל בבשר אמ' לו מרי כבר שלחתי אפסונין לבית ביד העבד כך בלעם אמ' לו ה'ב'ה' רשע מה אתה עושה בכאן אמ' לפניו את ז' המזבחות ערכתי וג' אמר לו הירצה יוי בﭏפי ﭏים אמר לפניו האתן בכורי פשעי וג' אמר לו רשע ﭏו הייתי מבקש קרבן הייתי אומר למיכﭏ ולגבריﭏ והיו מקריבי' לפני שנ' כי מי בשחק יערוך ליוי וג' זה בלעם שבקש להדמות לה'ב'ה' בבני ﭏים בבני אברהם יצחק ויעקב שהן אילי העולם אמ' לו ה'ב'ה' מה אתה מבקש להטעות עצמך לפי שאקבל מן האומות קרבנות
22	41	1	7	2	3	7	2	אין אתה יכול אמר לו שבועה היא מאת בני ישר' ברית עולם תנאין הן שאיני מקבל קרבן ﭏא מישר' שנ' צו את אהרן ואת בניו וג' והאומות אומרי' מה הוא כך שישר' מקריבין ומקטירי' אמר להם ה'ב'ה' זאת תורת העולה וכת' מי זאת עולה מן המדבר וכתי' ומשה עלה ﭏ הﭏהי' ד'א' וידבר יוי צו את אהרן אמר ה'ב'ה' קיימו מה שכת' למעלה מן הענין ואחר כך זאת תורת העולה למה כי אני יוי אוהב משפט שונא גזל בעולה מה כתי' למעלה מן הענין והיה כי יחטא ואשם והשיב וג' ואחר כך זאת תורת העולה אם בקשת להקריב קרבן לא
44	49	0	0	3	2	2	1	תגזול לאדם כלום למה כי אני יוי אוהב משפט שונא גזל וג' ואימתי אתה מעלה עולה ואני מקבלה כשתנקה כפיך מן הגזל שכך אמר דוד מי יעלה בהר יוי וג' זאת תורת העולה ומתחלת הקרבנות אתה למד דבר ﭏ בני ישר' ואמרת ﭏיהם אדם למה אומר אדם ﭏא אמר ה'ב'ה' כשתהא מקריב לפני תהיה כאדם הראשון שלא היה גוזל מאחרים שהוא היה יחידי בעולם כך אתה לא תהא גוזל לבריה בעולם למה כי אני יוי אוהב משפט וג' ד'א' זאת תורת העולה למה נקרא שמה עולה שהיא עליונה מכל הקרבנות העולה היא העולה תדע מי שהיה מביא חטאת הכהן נוטל
19	44	0	1	6	5	5	5	ממנה הזרוע והלחיים והקבה וכך המנחה וכך זבח השלמים וחוזרין לבעליהן האשם לכהן אבל העולה אין כל בריה טועם ממנה כלום ﭏא כולה עולה לגבוה לכך נקראת עולה שהיא עולה לה'ב'ה' שהוא עליון ד'א' צו את אהרן מה עסקו של אהרן כאן ישר' מקריבין ואהרן נזכר והכתוב אומ' צו את אהרן והרי כתי' כאן צו את בני ישרﭏ ואמרת ﭏיהם את קרבני וג' וכאן הוא אומ' צו את אהרן זאת תורת העולה אמ' ה'ב'ה' כל מי שהוא מעלה עצמו סופו לילך באש שנ' היא העולה על מוקדה על המזבח וג' דור המבול על שאמרו מה שדי כי נעבדנו ומה נועיל
20	27	1	3	5	8	4	1	כי נפגע בו לפיכך נידונו באש שנא' בעת יזורבו נצמתו בחומו נדעכו ממקומם וכן הסדומיים ויוי המטיר על סדום ועל וג' וכן פרעה שאמ' מי יוי ועילה את עצמו ואמר לי יאורי וג' לפיכך נדון על מוקדה שכן הוא אומר וירעם מן שמים יוי ועליון וג' וגחלי אש וכן הוא אומר ויהי ברד ואש מתלקחת בתוך וג' ואף סנחריב עילה את עצמו שנ' אני עליתי מרום הרים ירכתי לבנון מה אירע לו ביד מלאכיך חרפת יוי מה היה לו ויצא מלאך יוי וג' ותחת כבודו יקד יקוד כיקוד אש מהו תחת כבודו ששרף אותו מבפנים והניח בגדיו מבחוץ שכבודו של
30	31	0	0	1	8	8	10	אדם כסותו ולמה הניח ה'ב'ה' את בגדיו מבחוץ על שם שהיה מבני בניו של שם שנ' בני שם עילם ואשור וג' אמר ה'ב'ה' חייב אני לשם אביהם שנטלו את בגדיהם וכסו את ערות אביהם שנ' ויקח שם ויפת את השלמה לפיכך הניח ה'ב'ה' את בגדיהם ושרף את גופן היא העולה על מוקדה וכן נבוכדנצר עילה את עצמו ואמר השמים אעלה ממעל לכוכבי ﭏ ארים כסאי ולא עוד ﭏא אמ' אעלה על במתי עב אדמה לעליון וכן אמר לחנניה וחביריו ומן הוא ﭏה די ישיזבנכון מן ידי ביתו שרפתי ועמו הגליתי ולא עמד עלי בביתו בביתי הוא יכול מה עשה השליכו
28	23	0	0	2	10	5	2	לכבשן האש מה עשה ה'ב'ה' רמז לכבשן ונעשה פלאיה ומי שראוי לישרף לא נשרף ומי שלא היה ראוי לישרף נשאר ויצאה האש ושרפה חצי האומה שכך את מוצא כשנתכנסו לחנוכת צלמא לכתחלה שמונה אומות היו שנ' באדין מתכנשין אחשדרפניא סגניא ופחוותא אדרגזריא הדבריא דתבריא תפתיא וכל שולטני מדינתא למיתי לחנוכת צלמא די הקים נבוכדנצר מלכא הרי ח' וכשנתכנסו לראות לחנניה מישﭏ ועזריה אין כת' שם ﭏא ארבע אמות ומתכנשין אחשדרפניא סגניא ופחותא והדברי מלכא והיכן ארבע אמות קטיל המון שביבא די נורא אף נבוכדנצר נשרף באש ונעשה אש אימתי שרפו עליו ולמה הוא לא נשרף כולו ﭏא אמ' ה'ב'ה' הניחו
19	16	0	4	4	7	6	3	רשע כדי שידע על מי גידף אמ' לו ה'ב'ה' לא כבר אמרת איני מבקש עוד לילך עם בני אדם ﭏא אעלה על במתי עב אדמה לעליון חייך אני עושה לך ולך טרדין מן בני אנשא ועם חיות ברא מדורך וג' כשם שהביא מכות על פרעה ועל מצרים כך הביא על נבוכדנצר שאמר אתייא ותמהייא די עבד עמי ﭏהא עילאה שפר קדמי להחויה אימתי לאחר שנשרף לכך אמ' היא העולה ד'א' על מוקדה על המזבח זו מלכות הרשעה שעילת עצמה שכת' בה אם תגביה כנשר נידונת באש שנ' חזה הוית עד די קטילת חיותא והובד גשמה ויהיבת ליקידת אשא אמ' ה'ב'ה'
25	25	1	1	1	19	8	7	והיה בית יעקב אש ובית יוסף ובית וג' כי יוי דבר ומה דבר על ידי משה היא העולה על מוקדה ואחר כך ועלו מושיעים בהר ציון לשפוט וג' סיסרא שחירף שכך כתוב והוא לחץ את ישרﭏ בחזקה מהו בחזקה בחירופין ובגידופין לפיכך נדון באש שנ' מן שמים נלחמו הכוכבי' וג' ולעולם הבא כשה'ב'ה' נפרע מן עשו באותה שעה מה עשו עושה מתעטף בטליתו כזקן ובא ויושב לו אצל יעקב מנין שכך כתי' אם בין כוכבים שים קנך ואין כוכבי' ﭏא ישרﭏ שנ' הבט נא השמימה וספור הכוכבי' וכת' כה יהיה זרעך ומה יעקב אומ' לו אחי אתה לא תהא כיוצא
