line_text	mishnah	bavli	tosefta	minor_tractate	midrash_tannaitic	midrash_amoraic	yerushalmi
בעולם  אמ לה אינני יכולה שאבי מכוסה במחצלת של קנים אלא	0	10	0	0	0	0	0
לכי את ומה שתשמעי בואי ותספרי לי הלכה ושמעה ואמרה	0	11	0	0	0	0	0
שמעתי מאחורי הפרגוד שכל הזורע בזריעה ראשונה ברד	0	7	0	0	0	0	0
מלקה  מה עשה אותו האיש זרע בשנייה  וכן עשה בשנה שניי	0	3	0	0	0	0	0
ובשלישית נתגלה הדבר ואמ חברתי דברים שבני לבצך נשמע	0	3	0	0	0	0	0
בין החיים אלמא דמתים יודעים עתידות  מעשה בועירי	0	3	0	0	0	0	0
ראפקיד זודיה גבי אושפיזכניה עד דיותי ואזיל	0	4	0	0	0	0	0
לבי רב שכיבא אושפי זכניה אזל בתריה לבית הקברות אל זוזי	0	3	0	0	0	0	0
היבא אל שקלינהו מתותיה ענורא דדשא  ועוד מעש	0	4	0	0	0	0	0
דאבוה דשמואל הוה מפקדי ליה זוזי דיתמי כי	0	6	0	0	0	0	0
וח נפשיה לא הזה שמואל לגביה כי אתא שמואל הזה קרייה	0	9	0	0	0	0	0
ליה חדי גברא דאכיל זזזי דיתמי אדל שמואל לבית הקברות אמ	0	9	0	0	0	0	0
אבא היכא אמרו לו המתים טובא אבא איכא אבא בר אבא	0	5	0	0	0	0	0
מבוה דשמוול אמר ליה סליק ליה למתבתא דרקיעא  פרשי	0	3	0	0	0	0	0
	0	0	0	0	0	0	0
שנגלו לו כאילו הם מקבריהם יושבים בע גולה חזייה שמואל	0	0	0	0	0	0	0
ללוי שהיה חברו דיתיב אבראי פי חוץ לישיבה של שאר מתים	0	1	0	0	0	0	0
אל מאי טעמ לא סליק אל כל הנך שני דלא עילת למתינתא דר	0	1	0	0	0	0	0
אפס כדאי בכתובו פ הנושא  חזייה דהוה בכי וחייך  אבוה דשמו	0	1	0	0	0	0	0
אל מאיטעמ בכית אל דמטא זימנך למיתה ומאי טעמ חייכת	0	1	0	0	0	0	0
דחשיבת כולי האי בעלמא  וזוזי דיתמי זיל שקלינהו כו	0	0	0	0	0	0	1
מה היא הנפש ברכי נפשי אתיײי אמ דוד הנפש שנתת	0	0	0	0	0	0	1
בי אין אדם יודע מקומה ואין אדם יודע	0	0	0	0	0	2	0
מקומו של עולם ואפי חיות הקדש שטוענות את כסאו או ברוך	0	0	0	0	0	4	0
כבוד ײ ממקומו  תנא נפש שהיא יחידה שאין אדם ידע את	0	0	0	0	0	3	0
מקומה ותקלם למקום שהוא יחיד ואין אדם אדע את מקומו	0	2	0	0	0	0	0
ביעשה באדם אחד ששאל את רג באיזה מקום ﭏהיבם	0	2	0	0	0	0	0
כתוו אל איני יודע  אל זו היא תפלתכם וחכמתכם	0	0	0	0	0	2	0
שאתם מתפללין לפניו בכל אם ואם ואין אתם יודעין את מקומו אל	0	0	0	0	0	9	0
זה דבר ששאלת רחוק ממנו ג אלפים וה מאות שנה מהלך אדם	0	0	0	0	0	10	0
ביעני  אבל או לך דבר שהוא אצלך באם ובלילה אמור לי באיזה	0	0	0	0	0	7	0
מקום הוא וזה הנפש שהוא נתונה בגופך ואין אתה יודע היכן	0	0	0	0	0	4	0
היא אל איני אדע אל רג תיפח נפשיה דההוא גברא  ומה נפש	0	0	0	0	0	3	0
שהיא איצלך אמם ולילה איו אתה יודע היכן היא הק על אחת	0	0	0	0	0	0	2
כמה וכמה אל אכ יפה אנו עושין שאנו משתחוים למעשה ידינן	0	0	0	0	0	2	0
שבכל שנה אנו רואים אותו  אל קג תיפח נפשך מעשה ידיכם	0	0	0	0	0	2	0
אתם רואים אותם זהם אינם רואים אתכם והק הוא רואה אותנו	0	0	0	0	0	3	0
ואין אנחנו יכולא לראותו מפני כבודו דכ כי לא יראני האדם וחי	0	0	0	0	3	0	0
שאל אנטונונוס את ר גמ ונשמה יכוליו ליפטר מיום הדין	0	0	0	0	3	0	0
גוף או מה שחטאתי על ידי הנשמה שמיום שפרשה	0	0	0	0	3	0	0
ממני לא עשיתי מאומה הריני מוטל כאבן בקבר  ונשמה יאמר	0	5	0	0	0	0	0
גוף חטא שמיום שנפרדתי ממנן אני הייתי פורח באויר כצפור	0	7	0	0	0	0	0
אל ר יומשול לך משל למה הדבר דומה למלך בשר ודם שהיה לו	0	6	0	0	0	0	0
פרדס נאה והושיב בו שני שומרין אחד חגר ואחד סומא  אם	0	5	0	0	0	0	0
אחד אמ חגד לסומא בכורות נאות אני רואה בפרדס בא ונרכב	0	10	0	0	0	0	0
עליך ונבקש ונביאם ובוכלם רכב חגר על הסומא והביאום ואכלום	0	14	0	0	0	0	0
לימים ביא המלך אמ לתם בכורות נאות היכן הם ענה חגר כלום	0	12	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
יש לי רגלים  וכן הסומא כלום יש לי עינים מה עשה הרכיב חגר על	0	13	0	0	0	0	0
הסומא ודן אותם כאחד  כך יעשה המקום ליום הדין מביא הנשמ	0	12	0	0	0	0	0
וזורק בתוך הגוף ודן אותם שנ יקרא אל השמים מעל זו נשמה	0	14	0	0	0	0	0
ואל הארץ לדין עמו זה הגוף  אל תשכח כל גמוליו  כך אמ	0	13	0	0	0	0	0
דוד לפני המקום  רבונו של עולם כבוד גדול עשית לי שעשי	0	11	0	0	0	0	0
לאמי דדים במקום בינה פי סמוך ללב  דא שלא יינק במקום הטנופת	0	6	0	0	0	0	0
פי כמ שעשית לבהמה  ר שמעון בן פזי הוה מסדר אגדתא ק	0	5	0	0	0	0	0
קמיה דר יהושו בן לוי ואמ מאי דכ וכל קרבי את	0	6	0	0	0	0	0
שם קדשו  בא וראה שלא כמדת הק מדת בשר ודם  אדם צר צורה	0	6	0	0	0	0	0
על גבי כותל אינו יכול להטיל בו רוח ונשמה קריביים ובני מעיים  אבל	0	10	0	0	0	0	0
המקום צר צורה בתוך צורה ונותן בה רוח ונשמה קריבים ובני מעיי	0	15	0	0	0	0	0
והיינו דאמ חנה אין צור כﭏהינו אין צייר כﭏהינו  הני חמשה	0	16	0	0	0	0	0
ברכי נפשי כנגד המקום שיש בו חמשה דברים מלא כל העול	0	14	0	0	0	0	0
וכן הנשמה מלא הגוף  המקום רואה ואינו נראה אף הנשמה רואה	0	11	0	0	0	0	0
ואינו נראה  המקום זן את כל העולם אף הנשמה זנה את הגוף  המק	0	11	0	0	0	0	0
המקום טהור והנשמה טהורה יושב בחדרי חדרים אף הנשמה  ת	0	12	0	0	0	0	0
תבא נשמה שיש בו ה דברים ותשבח להקבה שיש בו ה דברים אי	0	8	0	0	0	0	0
אילו  כל המסתכל באילו ארבעה דברים רתוי הוא כאילו	0	3	0	0	0	0	0
לא בא לעולם  ואילו הן מה למטה ומה למעלה מה לפנים	0	0	0	0	0	0	3
מה לאחור פי רתוי כמ ראוי וטוב ממנו הנפל כך פי בערוך  ורשי	0	3	0	0	0	0	0
פי יפה וטוב היה לו שלא בא לעולם  מה למעלה מן השמים כדכתי	4	0	0	0	0	0	0
בספר בן סירא במופלא ממך אל תדרוש ובמכוסה ממך אל תחקור	0	8	0	0	0	0	0
במה שהורשת התבונן אין חקר בנסתרות  במופלא ממך זה שלא	0	12	0	0	0	0	0
רצה המקום לגלות מה לך לחקור  במה שהורשת במעשה דרך א	0	13	0	0	0	0	0
ארץ ובתלמוד תורה ובמעשה בראשית התבונן  מה לפנים חוץ	0	3	0	0	0	0	0
למחיצת הקרקע למזרח ולצפון ולדרום  ומה לאחור למערב  ושמעת	0	0	0	0	1	0	0
עוד רתוי כמ בני אהרן הנותרים  ודריש בתכ ר אליעז או ראויים היו	0	1	0	0	0	0	0
לישרף אלא שריתה הכתו לאהרן וזהו לרחמים כך פי הערוך כלומר	0	0	0	0	0	1	0
מרוחם היה  וכן רתוי שלא בא לעולם כלומ מרוחם היה אם לא בא לנ	0	0	0	0	0	1	0
לעולם תנו רבנן שלשה הובאו לדין לפני ה	0	1	0	0	0	0	0
המקום ואילו הן עני ועשיר ורשע	0	1	0	0	0	0	0
או לעני למה לא עסקת בתורה אל טרוד היה במזונותי או לו כלום היית	0	4	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
עני יותר מהילל הזקן  אמרו עליו על הילל הזקן שבכל יום ויום היה	0	9	0	0	0	0	0
משתכר בשני טרפקיעין פי מיני מטבע  חצי נותן לשומר בית ה	0	11	0	0	0	0	0
המדרש וחצי האחר מתפרנס הוא ובני ביתו  פעם אחת לא מו	0	9	0	0	0	0	0
מצא להשתכר ולא הניחו שומר בית המדרש ליכנס עלה לגג נתלה	0	10	0	0	0	0	0
בלילה וישב על גבי ארובה כדי שישמע דברי ﭏהים חיים מפי שמעי	0	13	0	0	0	0	0
ואבטליון ואותו היום ערב שבת היה ותקופת טבת ירד עליו השלג	0	19	0	0	0	0	0
כיון שעלה עמוד השחר אמ שמעיה לאבטליון אבטליון אחי בכל יום	0	17	0	0	0	0	0
היה מאיר הבית והיום אפל הציצו עיניו וראה דמות אדם בארובה	0	14	0	0	0	0	0
עלו ומצאו עליו רום ג אמות שלג  פרקוהו ורחצוהו וסכוהו והוש	0	15	0	0	0	0	0
והושיבוהו כנגד המדורה אמרו כגון זה ראוי לחלל עליו השבת	0	13	0	0	0	0	0
ואל תתמה מזה אמרו עליו על ר עקיבא שבכל יום ויום היה מביא	0	10	0	0	0	0	0
חבילה של קש חציו מוכר וחציו מתקשט בו  פעם אחד עמדו	0	0	0	0	0	0	0
עליו שכיניו ואמרו לו עקיבא אבדתנו בעשן אבל מכור אותו לנו	0	0	0	0	0	0	0
וטול בדמיו שמן והדלק הנר ושנה לאור הנר  אמ להם הרבה סי	0	0	0	0	0	0	0
סיפוקין אני מסתפק מהם אחד שאשנה לאורו ואחד שאתחמם	0	0	0	0	0	0	0
בהם ואחד שאינו מניח לי לישן  ועתיד ר עקיבא לחייב כל עניי	0	0	0	0	0	0	0
ישר לעתיד בדין שהיה בתחלה עני מדולדל  ואם תאמר שלא הי	0	0	0	0	0	0	0
לו טיפול בנים ובנות היו לו והיה מפרנסם  ובן מ שנה היה כשהלך	0	0	0	0	0	0	0
ללמוד ולסוף שש עשרה שנה לימד תורה ברבים  ואמרו לא נפ	0	0	0	0	0	0	0
נפטר מן העולם עד שהיו לו שלחנות של כסף וזהב  ואשתו הית	0	0	0	0	0	0	0
יוצאת בקורקסין ובעיר של זהב ובמילת ובבגדי צבעונין ובכלי	0	0	0	0	0	0	0
פשתן מצויצין  אמרו לו בניו ובנותיו ביישתנו במה שאתה עוש	0	0	0	0	2	0	0
לאמנו כל הכבוד הזה אמ להם מעט הוא הכבוד שהרבה נצט	0	0	0	0	0	0	0
נצטערה עמי בתורה כדאי ביבמות פ הבא על יבמתו  שנים עשר	0	0	0	0	0	0	0
זוגות תלמידי חכמי היו לו לר עקיבא מתלמידיו מגבת עד אנט	0	0	0	0	0	0	2
אנטיפרס מעשה בר אליעז בן הורקנוס שהניח	0	0	0	0	0	0	2
אביו ואמו עניים וברח לירושלם ולא נטל בידו לא	0	0	0	0	0	0	2
ככר לא מנה ולא כלום אלא נכנס בירושלים כעני בפתח  ובא לפני	0	2	0	0	0	0	0
רבן יוחנ בן זכאי וישב ולמד תורה שם שתים או שלש שנים  בא	0	2	0	0	0	0	0
לשאול לתלמידים והיה מריחים ריח פיו סרוח והיו מטמינים מ	0	2	0	0	0	0	0
ממנו ובורחים ולא היו או לו דבר עד שבאו לפני רבן יוחנ בן זכאי	0	4	0	0	0	0	0
והבין שאין ריח זה אלא מרעב שלא היה לו לאכול  אמ רבן יוחנ בן	0	3	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
וכאי בדקו אם הוא רעב ואם אכל כלום ותדעו את עסקו של	0	4	0	0	0	0	0
תלמיד זה בדקו ומצאו את פונדוק אחד אכסנאי שלו ואמ יש	0	2	0	0	0	0	0
באן שק אחד הראה לנו מיד הביאו לפניהם ופתחו אותו מלא	0	0	1	0	0	0	0
עפר שהיה ראשו נתון בתוכו ומוצין ואוכל ממנו ומצאו שם	0	0	1	0	0	0	0
שני נבלים שהיו מלאים מים ואומיין הוא הלכו ואמרו לרבן אח	0	0	0	0	0	1	0
והיה תמיה בדבר וראה צדקה גדולה שהיה ביד אותו אליעזר	0	0	0	0	0	1	0
שלא תבע משום אדם  באותו שעה קבעוהו מזון הרבה עד שנ	0	1	0	0	0	0	0
שנתרפא מריח פיו ועשה לפניו עשרים שנה בדאי בריש פ ר	0	1	0	0	0	0	0
אליעזר  עשיר כשיבא לדין יאמרו לו מפני מה לא	0	1	0	0	0	0	0
עסקת בתורה או עשיר הייתי וטרוד בנכסי או לו	0	8	0	0	0	0	0
כלום היית עשיר אתר מר אליעזר בן חרסום שהניח לו אבין	0	13	0	0	0	0	0
אלף עירות ביבשה וכנגדם אלף ספנות בים ולאהלך לראותם	0	16	0	0	0	0	0
מעולם וישב ועסק בתורה כל ימין  רשע או לו מפני	0	10	0	0	0	0	0
מה לא עסקת בתורה או בחזר נאה הייתי וטרוד	0	10	0	0	0	0	0
ביצרי הייתי או לו כלום היית טרוד ונאה ביצרך אתר מיסף	0	8	0	0	0	0	0
הצדיק ומר יוחנ ומר יובהו ומיעקב אבינו וכלהן כדאית בכב	0	7	0	0	0	0	0
מציעא פ השוכר את הפועלים ובברכו פק  כת לא ידע אנוש	0	0	0	0	1	0	0
ערכה  אר אלעז לא נתנו פרשאתיו של תורה על הסדר	0	0	0	0	0	4	0
שאילו נתנו על הסדר כל מי שהיה קורא בהם יכול להחאת	0	0	0	0	0	5	0
מתים ולעשות מפתים והוא גלוי לפני הק שנ מי כמני יקרא	0	0	0	0	0	5	0
ויגידה  וכן אמ שלמה בחכמתו  שומר מצוה לא ירא דבררע	0	0	0	0	0	4	0
אר יצחק כל העושה מצוה במאמרה אין מבשרין אותו בשורו	0	5	0	0	0	0	0
רעות שנ שומר וגו  ואפי אם גוזרים עליו גזירה המקום מבטלה	0	6	0	0	0	0	0
שנ באשר דבר מלך ושלטון וסמיך ליה שומר מצוה  כך אמ	0	9	0	0	0	0	0
שלמה בכל דרכיך דעהו והוא יישר אורחותיך ואיזהו פרש שכלל	0	0	0	0	0	0	0
נופי תורה תלויין בו הוי או כדכ במשלי  בכל דרכיך דעהו ואמ ר	0	7	0	0	0	0	0
רבא לא נצרכא אלא לדבר עבירה  ר עקיבא או כל גדול לכל	0	8	0	0	0	0	0
התורה כולה ואהבת לרעך כמוך דע לך סני לחברך לא תעביד	0	3	0	0	0	0	0
וגרסינ בירושלמ האי טבחא דמחתך בשרא וחתכיה לידיה	0	3	0	0	0	0	0
תהדר ידא ותמחיה לידיה לכך כתי ואהבת שלא ישלם רעה	0	3	0	0	0	0	0
תחת רעה לחבירו כשם שאינו משלם לעצמו  ועוד אמ בן	0	0	0	0	0	1	0
עזמי זה כל גדול בתורה זה תולדות האדם בהבראם כשם שבני	0	0	0	0	0	0	3
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
אדם הברואים מדבר אחד ועשרים מדבר אחד כך הם	0	0	0	0	0	0	3
מייבין להיות דעתם ולבם אחד עם כל הדומין להם  וצע	0	0	0	0	0	0	3
בשבת פב בגוי אחד שבא לפני שמאי להתגייר על מנת	0	2	0	0	0	0	0
שילמדהו כל התורה ברגל אחד ודחהו שמאי ובא לפני הילל וגי	0	2	0	0	0	0	0
וגיירו ואמ לו ואהבת לרעך כמוך דע לך סני לחברך לא תעביד	0	5	0	0	0	0	0
וכל עשרת הרברות כלולות בו  למבין	0	3	0	0	0	0	0
כת שמרני כאישוו בת עין כך	0	3	0	0	0	0	0
אמ דוד לפני המקום  אר יודן בר לוי אין לך בית רובע של עדש	0	0	0	0	0	3	0
שאין בחללו שני מאות מזיקין והמקום משמר אותם שלא איקו	0	0	0	0	0	2	0
אר יהושו בן לוי בשעה שאדם איקוניא של מלאכים מהלכ	0	2	0	0	0	0	0
לפניו ומבריזין ואומרים תנו מקום לאיקוניא של מקום	0	0	0	0	0	9	0
אמר פירמא נתונה לפני עציהם של מזיקין כגון שעושין לחמו	0	0	0	0	0	9	0
וחמורים הטוחנים בבית הריחים שמשימין מכסה לפני	0	0	0	0	0	5	0
עציהם שלא יראו ויחלשו לבם וימותו מיד  כך בני אדם אצם	0	0	0	0	0	2	0
יכולים לראות מזיקין שלא תטרף דעתם  ובשעת שעונת	0	0	0	0	0	2	0
גירמים לן לאדם אותו כסוי שעל פניהם מתגלה וזהוא מביט באד	0	0	0	0	0	3	0
יפניו משתנות שנ משנה פביו ותשלחהו לכך מסר המקום	0	0	0	0	0	4	0
לאדם אלף מלאכים משמאלו ורבוא מימינו ולמה של ימין או	0	0	0	0	0	4	0
יותר משל שמאל לפי שימין שולט בכל המצות לפיכך מימניך	0	0	0	0	0	3	0
אבל השמאו שאצה שולטת אלא במצות תפלין לכך אינו אלא	0	0	0	0	0	4	0
אלף  ואליך לא יגש אמ המקום נוהג שבעולם מלך אוינא לדרך	0	0	0	0	0	4	0
יכל הלמנות אנאות עמו לשמדו והוא זקוק להם ליתן פרנסתם	0	0	0	0	0	0	2
מאנותם אבל אני מסרתי לקם מלאכים לשומרן ואין אחד אומ	0	0	0	0	0	0	2
תן ל פרנסתי  אר שילא לא נאמר מצדך  פל אלא יפל מצדך	0	0	0	0	0	0	1
שום יבאו עליך מזיקין אותם מלאכים מפילים אותן לפניך	0	0	0	0	0	7	0
והמקום מסכים להם והמלאכים משמרים אותן כל שעה שעוס	0	0	0	0	0	7	0
שעוסקין בתורה ושומרין המצות ומתפללין לבוראם  כת לא	0	0	0	0	0	7	0
תירין מפחד לילה  אר ברביה ש מזיק שהוא פורח	0	0	0	0	0	3	0
באויר כעוף וקושש כחץ שנ הי עלה כח מן האדמה  מקטב שד	0	0	0	0	0	7	0
הוא  מרירי עשוי קליפין שערות שערות ועצו אחת בתוך לבו	0	0	0	0	0	10	0
ואצו שסליט לא ניצל ולא בחמה אוא בין יצו לחמה ומתגולל בבור	0	0	0	0	0	5	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
	0	0	0	0	0	0	0
ושולט מר שעות עד ש שעות ושולט מיז בתמוד עד ט באב	0	0	0	0	0	7	0
וכל מי שרואה אותו נופל על פניו  אר פנחס מעשה באחד	0	0	0	0	0	7	0
שראה ונכפה ונסל על פניו  ר ייצחק מקפיד לספריא דלא הוו	0	0	0	0	0	11	0
מפיין לטליא בד שעות אן בט שעות ולא להוון מחיין לתלמידוי	0	0	0	0	0	9	0
מיז בתמוז עד ט באב וזה קטב ישוד צהרים  ובתנחומ פ במדבר	0	0	0	0	0	7	0
קטב מרירי כל מי שרואה אותו מתפחד בין אדם וחיה ובהמה	0	0	0	0	0	3	0
